date,ActivFit
2016-01-12 00:00:00,still
2016-01-12 08:42:58,walking
2016-01-12 08:46:49,walking
2016-01-12 08:52:58,walking
2016-01-12 08:56:25,walking
2016-01-12 09:00:17,still
2016-01-12 09:03:41,walking
2016-01-12 09:05:53,walking
2016-01-12 09:07:52,in_vehicle
2016-01-12 09:21:42,walking
2016-01-12 09:23:58,walking
2016-01-12 09:27:08,still
2016-01-12 09:31:08,walking
2016-01-12 09:34:08,walking
2016-01-12 09:35:50,still
2016-01-12 09:55:00,walking
2016-01-12 09:56:09,still
2016-01-12 10:27:43,walking
2016-01-12 10:30:27,walking
2016-01-12 10:37:07,walking
2016-01-12 10:38:08,still
2016-01-12 10:49:03,walking
2016-01-12 10:50:08,walking
2016-01-12 10:52:34,still
2016-01-12 11:08:08,walking
2016-01-12 11:10:38,walking
2016-01-12 11:11:58,still
2016-01-12 11:14:08,walking
2016-01-12 11:15:47,still
2016-01-12 11:17:34,walking
2016-01-12 11:19:58,still
2016-01-12 11:22:53,walking
2016-01-12 11:24:08,still
2016-01-12 11:27:23,walking
2016-01-12 11:29:24,still
2016-01-12 11:38:47,walking
2016-01-12 11:40:36,still
2016-01-12 12:04:45,walking
2016-01-12 12:06:14,still
2016-01-12 14:20:08,walking
2016-01-12 14:21:57,walking
2016-01-12 14:23:08,still
2016-01-12 15:22:56,walking
2016-01-12 15:26:54,still
2016-01-12 19:21:58,walking
2016-01-12 19:23:37,still
2016-01-12 19:31:28,walking
2016-01-12 19:34:40,walking
2016-01-12 19:35:44,still
2016-01-12 19:41:12,walking
2016-01-12 19:42:22,walking
2016-01-12 19:43:58,walking
2016-01-12 19:46:59,in_vehicle
2016-01-12 20:25:25,still
2016-01-12 21:06:45,walking
2016-01-12 21:10:21,in_vehicle
2016-01-12 21:33:23,still
2016-01-12 22:15:53,walking
2016-01-12 22:16:59,in_vehicle
2016-01-12 22:42:59,walking
2016-01-12 22:45:36,still
2016-01-13 00:00:00,still
2016-01-13 10:44:09,still
