date,ActivFit
2016-01-28 00:00:00,still
2016-01-28 05:48:35,walking
2016-01-28 05:58:16,walking
2016-01-28 06:06:06,still
2016-01-28 06:07:38,in_vehicle
2016-01-28 06:52:21,walking
2016-01-28 07:06:54,still
2016-01-28 09:10:35,walking
2016-01-28 09:17:25,still
2016-01-28 11:40:19,walking
2016-01-28 11:44:40,still
2016-01-28 13:22:51,walking
2016-01-28 13:28:01,still
2016-01-28 14:50:14,walking
2016-01-28 14:53:02,still
2016-01-28 14:56:28,walking
2016-01-28 15:01:02,walking
2016-01-28 15:11:33,in_vehicle
2016-01-28 15:51:58,walking
2016-01-28 15:55:31,in_vehicle
2016-01-28 16:03:33,still
2016-01-28 16:41:32,walking
2016-01-28 16:45:39,still
2016-01-28 16:47:19,in_vehicle
2016-01-28 17:05:38,still
2016-01-28 17:17:51,walking
2016-01-28 17:21:17,still
2016-01-28 18:11:46,walking
2016-01-28 18:15:15,in_vehicle
2016-01-28 18:27:39,still
2016-01-28 18:50:00,walking
2016-01-28 18:51:32,still
2016-01-28 20:31:03,still
2016-01-29 00:00:00,still
2016-01-29 08:17:03,in_vehicle
2016-01-29 08:49:18,still
2016-01-29 14:43:27,walking
2016-01-29 14:51:24,still
2016-01-29 14:52:50,in_vehicle
2016-01-29 15:40:19,walking
2016-01-29 15:43:53,still
2016-01-29 16:56:34,still
2016-01-29 16:59:39,biking
2016-01-29 17:16:00,still
2016-01-29 17:34:54,biking
2016-01-29 17:51:42,walking
2016-01-29 17:56:01,still
2016-01-29 18:21:27,in_vehicle
2016-01-29 18:33:30,walking
2016-01-29 18:50:07,in_vehicle
2016-01-29 19:17:23,still
2016-01-29 19:44:12,still
2016-01-29 19:51:35,walking
2016-01-29 19:55:51,still
2016-01-29 22:40:02,still
2016-01-30 00:00:00,still
2016-01-30 13:25:32,still
2016-01-30 13:59:33,still
2016-01-30 16:23:38,still
2016-01-30 16:33:45,still
2016-01-30 16:42:32,in_vehicle
2016-01-30 17:14:01,walking
2016-01-30 17:17:16,still
2016-01-30 17:34:02,walking
2016-01-30 17:35:02,still
2016-01-30 17:37:03,walking
2016-01-30 17:38:34,in_vehicle
2016-01-30 18:02:22,still
2016-01-30 18:16:00,still
2016-01-30 19:15:07,walking
2016-01-30 19:17:34,still
2016-01-30 20:13:04,walking
2016-01-30 20:16:36,still
2016-01-30 22:07:36,still
2016-01-30 23:39:33,still
2016-01-30 23:41:16,still
