date,ActivFit
2016-03-22 00:00:00,still
2016-03-22 05:52:26,still
2016-03-22 06:17:09,walking
2016-03-22 06:18:33,still
2016-03-22 06:22:19,walking
2016-03-22 06:25:01,walking
2016-03-22 06:27:44,in_vehicle
2016-03-22 07:01:39,walking
2016-03-22 07:06:53,still
2016-03-22 07:54:14,walking
2016-03-22 07:55:43,still
2016-03-22 09:15:58,walking
2016-03-22 09:17:09,still
2016-03-22 09:24:38,walking
2016-03-22 09:25:39,still
2016-03-22 09:59:22,walking
2016-03-22 10:02:08,still
2016-03-22 11:24:21,walking
2016-03-22 11:27:10,still
2016-03-22 11:50:23,walking
2016-03-22 11:51:23,still
2016-03-22 15:17:09,walking
2016-03-22 15:19:45,still
2016-03-22 15:35:00,walking
2016-03-22 15:39:46,in_vehicle
2016-03-22 15:46:10,still
2016-03-22 16:15:18,walking
2016-03-22 16:21:12,still
2016-03-22 17:46:18,walking
2016-03-22 17:47:46,walking
2016-03-22 17:49:33,in_vehicle
2016-03-22 18:05:38,still
2016-03-22 18:30:00,in_vehicle
2016-03-22 18:42:23,still
2016-03-22 18:54:46,walking
2016-03-22 18:58:03,still
2016-03-22 20:11:27,walking
2016-03-22 20:14:03,still
2016-03-22 20:23:10,walking
2016-03-22 20:24:11,still
2016-03-22 20:38:55,still
2016-03-23 00:00:00,still
2016-03-23 05:48:52,walking
2016-03-23 05:50:54,still
2016-03-23 06:12:08,walking
2016-03-23 06:21:18,still
2016-03-23 06:24:23,walking
2016-03-23 06:27:32,in_vehicle
2016-03-23 06:45:02,walking
2016-03-23 06:46:53,in_vehicle
2016-03-23 07:02:30,walking
2016-03-23 07:06:13,still
2016-03-23 07:45:47,walking
2016-03-23 07:48:19,still
2016-03-23 09:46:26,walking
2016-03-23 09:47:30,still
2016-03-23 09:58:18,walking
2016-03-23 09:59:19,still
2016-03-23 10:59:52,walking
2016-03-23 11:01:10,still
2016-03-23 11:51:42,walking
2016-03-23 11:53:45,still
