date,ActivFit
2016-08-01 00:00:00,still
2016-08-01 06:20:59,in_vehicle
2016-08-01 07:46:09,walking
2016-08-01 07:51:45,still
2016-08-01 08:17:00,walking
2016-08-01 08:18:01,still
2016-08-01 08:19:01,walking
2016-08-01 08:23:18,still
2016-08-01 09:32:35,walking
2016-08-01 09:34:45,still
2016-08-01 11:18:20,walking
2016-08-01 11:25:09,still
2016-08-01 11:54:21,walking
2016-08-01 12:02:30,still
2016-08-01 12:41:13,walking
2016-08-01 12:45:07,still
2016-08-01 12:50:26,walking
2016-08-01 12:54:01,running
2016-08-01 12:55:03,walking
2016-08-01 12:59:32,still
2016-08-01 13:22:02,still
