date,ActivFit
2016-03-19 00:00:00,still
2016-03-19 15:25:37,in_vehicle
2016-03-19 15:38:03,still
2016-03-19 21:31:31,walking
2016-03-19 21:36:58,still
2016-03-22 00:00:00,still
2016-03-22 01:37:02,in_vehicle
2016-03-22 01:40:28,still
2016-03-22 02:01:40,still
2016-03-22 09:50:46,biking
2016-03-22 10:03:34,walking
2016-03-22 10:05:22,still
2016-03-22 11:13:33,walking
2016-03-22 11:20:41,still
2016-03-22 11:26:07,in_vehicle
2016-03-22 11:32:58,still
2016-03-22 12:48:10,walking
2016-03-22 12:55:08,walking
2016-03-22 12:58:09,still
2016-03-22 13:49:44,walking
2016-03-22 13:55:27,in_vehicle
2016-03-22 14:25:19,walking
2016-03-22 14:29:21,in_vehicle
2016-03-22 14:39:40,still
2016-03-22 14:59:01,still
2016-03-22 15:21:28,still
2016-03-22 15:34:47,still
2016-03-22 15:59:48,walking
2016-03-22 16:01:30,in_vehicle
2016-03-22 16:28:52,still
2016-03-22 16:41:37,still
2016-03-22 17:27:26,still
2016-03-22 17:29:53,in_vehicle
2016-03-22 17:44:28,walking
2016-03-22 17:47:02,still
2016-03-22 18:56:46,still
2016-03-22 19:20:17,walking
2016-03-22 19:26:32,walking
2016-03-22 19:30:20,running
2016-03-22 19:32:06,walking
2016-03-22 19:35:00,still
2016-03-22 20:04:16,walking
2016-03-22 20:07:56,in_vehicle
2016-03-22 20:24:20,walking
2016-03-22 20:32:50,in_vehicle
2016-03-22 20:42:57,walking
2016-03-22 20:49:49,still
2016-03-22 20:54:42,walking
2016-03-22 21:01:00,still
2016-03-22 21:05:02,walking
2016-03-22 21:08:43,still
2016-03-22 21:26:03,still
2016-03-22 21:40:22,still
2016-03-22 21:47:08,walking
2016-03-22 21:48:51,still
2016-03-22 22:03:24,walking
2016-03-22 22:08:48,in_vehicle
2016-03-28 00:00:00,still
2016-03-28 00:13:59,walking
2016-03-28 00:15:40,still
2016-03-28 01:12:43,walking
2016-03-28 01:14:35,in_vehicle
2016-03-28 01:43:57,still
2016-03-28 08:14:04,in_vehicle
2016-03-28 08:22:32,still
2016-03-28 08:50:39,walking
2016-03-28 08:53:48,still
2016-03-28 13:55:40,in_vehicle
2016-03-28 14:21:58,walking
2016-03-28 14:24:00,still
2016-03-28 14:31:36,walking
2016-03-28 14:41:25,still
2016-03-28 14:48:45,walking
2016-03-28 14:50:50,still
2016-03-28 14:53:49,in_vehicle
