date,ActivFit
2016-02-12 09:07:18,walking
2016-02-12 09:45:30,walking
2016-02-12 10:15:35,walking
2016-02-12 14:58:58,walking
2016-02-12 17:14:13,walking
2016-02-13 00:00:00,still
2016-02-13 08:46:56,walking
2016-02-13 09:13:10,still
2016-02-13 09:20:12,walking
2016-02-13 09:54:10,walking
2016-02-13 10:39:59,still
2016-02-13 11:06:25,walking
2016-02-13 11:09:52,walking
2016-02-13 11:13:17,walking
2016-02-13 11:14:59,still
2016-02-13 11:48:00,walking
2016-02-13 11:49:35,still
2016-02-13 12:24:33,in_vehicle
2016-02-13 12:33:01,walking
2016-02-13 12:35:19,in_vehicle
2016-02-13 13:35:50,still
2016-02-13 13:40:11,still
2016-02-13 14:06:35,in_vehicle
2016-02-13 14:13:51,still
2016-02-13 15:00:29,still
2016-02-13 15:26:25,walking
2016-02-13 15:31:05,walking
2016-02-13 15:35:52,walking
2016-02-13 15:40:21,still
2016-02-13 16:02:31,walking
2016-02-13 16:04:07,still
2016-02-13 16:05:40,in_vehicle
2016-02-13 16:25:58,still
2016-02-13 16:58:45,in_vehicle
2016-02-13 17:25:46,still
2016-02-13 18:45:41,in_vehicle
2016-02-13 19:18:57,walking
2016-02-13 19:22:44,still
2016-02-13 19:57:55,still
2016-02-13 19:59:56,in_vehicle
2016-02-13 20:17:59,still
2016-02-13 21:38:51,in_vehicle
2016-02-13 22:06:31,still
2016-02-13 22:17:54,walking
2016-02-13 22:27:27,still
2016-02-14 00:00:00,still
2016-02-14 07:37:11,still
2016-02-14 08:19:22,still
2016-02-14 09:39:30,still
2016-02-14 09:51:48,still
2016-02-14 09:54:59,in_vehicle
2016-02-14 11:39:08,walking
2016-02-14 11:40:11,still
2016-02-14 12:27:13,still
2016-02-14 12:39:43,still
2016-02-14 13:46:03,walking
2016-02-14 13:47:39,still
2016-02-14 14:44:50,walking
2016-02-14 14:46:06,still
2016-02-14 17:55:06,still
2016-02-14 18:16:53,still
2016-02-14 18:18:24,in_vehicle
2016-02-14 20:04:01,in_vehicle
2016-02-14 20:06:22,still
2016-02-14 20:21:58,walking
2016-02-14 20:24:36,still
2016-02-14 22:53:46,still
2016-02-15 00:00:00,still
2016-02-15 07:22:59,still
2016-02-15 07:29:22,still
2016-02-15 08:03:08,walking
2016-02-15 08:04:10,still
2016-02-15 08:05:12,in_vehicle
2016-02-15 08:36:24,still
2016-02-15 08:55:34,walking
2016-02-15 08:57:20,still
2016-02-15 09:08:11,walking
2016-02-15 09:11:42,in_vehicle
2016-02-15 09:24:59,in_vehicle
2016-02-15 10:08:33,still
2016-02-15 11:59:27,walking
2016-02-15 12:01:11,still
2016-02-15 12:03:24,in_vehicle
2016-02-15 12:33:51,still
2016-02-15 13:53:15,still
2016-02-15 15:56:37,in_vehicle
2016-02-15 16:48:52,still
2016-02-15 16:52:24,walking
2016-02-15 16:53:33,still
2016-02-15 17:35:14,walking
2016-02-15 17:41:22,still
2016-02-15 18:00:10,still
2016-02-15 19:32:31,walking
2016-02-15 19:35:56,still
2016-02-15 19:40:13,in_vehicle
2016-02-15 19:46:10,still
2016-02-15 19:52:23,still
2016-02-16 00:00:00,still
2016-02-16 05:39:09,walking
2016-02-16 05:41:55,still
2016-02-16 06:54:50,walking
2016-02-16 06:56:37,still
2016-02-16 06:58:48,in_vehicle
2016-02-16 07:20:18,walking
2016-02-16 07:24:32,still
2016-02-16 07:25:38,walking
2016-02-16 07:29:55,in_vehicle
2016-02-16 08:29:39,still
2016-02-16 08:42:11,still
2016-02-16 09:00:08,still
2016-02-16 09:38:48,in_vehicle
2016-02-16 09:59:15,walking
2016-02-16 10:04:54,still
2016-02-16 11:33:31,still
2016-02-16 11:35:01,walking
2016-02-16 11:38:20,in_vehicle
2016-02-16 11:54:40,walking
2016-02-16 12:00:05,still
2016-02-16 12:05:41,walking
2016-02-16 12:10:23,in_vehicle
2016-02-16 12:16:00,walking
2016-02-16 12:17:50,in_vehicle
2016-02-16 12:29:47,still
2016-02-16 13:33:05,still
2016-02-16 13:50:44,still
2016-02-16 14:03:28,in_vehicle
2016-02-16 15:19:05,still
2016-02-16 15:23:20,walking
2016-02-16 15:25:19,still
2016-02-16 16:07:19,still
2016-02-16 16:32:04,still
2016-02-17 00:00:00,still
2016-02-17 05:42:55,still
2016-02-17 06:21:19,walking
2016-02-17 06:23:00,still
2016-02-17 07:02:18,in_vehicle
2016-02-17 07:20:14,walking
2016-02-17 07:24:00,still
2016-02-17 07:26:18,walking
2016-02-17 07:32:34,in_vehicle
2016-02-17 08:29:00,still
2016-02-17 08:31:11,walking
2016-02-17 08:32:30,still
2016-02-17 09:56:25,still
2016-02-17 10:24:59,walking
2016-02-17 10:47:14,still
2016-02-17 10:56:35,walking
2016-02-17 11:38:45,still
2016-02-17 11:48:58,walking
2016-02-17 11:51:23,walking
2016-02-17 11:57:52,still
2016-02-17 12:28:43,still
2016-02-17 13:07:00,walking
2016-02-17 13:08:32,still
2016-02-17 13:33:48,walking
2016-02-17 13:36:54,still
2016-02-17 13:40:59,in_vehicle
2016-02-17 15:55:09,still
2016-02-17 16:24:05,in_vehicle
2016-02-17 16:43:59,still
2016-02-17 16:59:57,in_vehicle
2016-02-17 17:27:17,still
2016-02-17 17:52:38,walking
2016-02-17 17:55:11,in_vehicle
2016-02-17 18:03:00,still
2016-02-17 18:05:00,still
2016-02-23 00:00:00,still
2016-02-23 05:50:42,still
2016-02-23 06:42:53,walking
2016-02-23 06:45:00,in_vehicle
2016-02-23 07:19:31,walking
2016-02-23 07:22:20,still
2016-02-23 07:27:27,in_vehicle
2016-02-23 08:19:44,still
2016-02-23 08:31:10,in_vehicle
2016-02-23 09:55:49,walking
2016-02-23 10:01:25,in_vehicle
2016-02-23 10:26:14,still
2016-02-23 11:26:59,in_vehicle
2016-02-23 12:01:37,walking
2016-02-23 12:07:02,still
2016-02-23 13:00:01,walking
2016-02-23 13:01:13,walking
2016-02-23 13:05:58,in_vehicle
2016-02-23 13:32:16,still
2016-02-23 13:55:30,walking
2016-02-23 13:57:06,still
2016-02-23 13:59:23,in_vehicle
2016-02-23 15:31:04,still
2016-02-23 15:33:01,walking
2016-02-23 15:40:00,walking
2016-02-23 15:41:26,still
2016-02-23 16:35:05,walking
2016-02-23 16:41:12,in_vehicle
2016-02-23 16:54:35,walking
2016-02-23 16:56:38,still
2016-02-23 16:58:07,walking
2016-02-23 16:59:27,still
2016-02-23 17:04:02,in_vehicle
2016-02-23 17:30:27,still
2016-02-24 00:00:00,still
2016-02-24 05:27:26,walking
2016-02-24 05:31:01,still
2016-02-24 06:56:53,still
2016-02-24 07:00:00,in_vehicle
2016-02-24 07:15:54,walking
2016-02-24 07:18:18,still
2016-02-24 07:22:17,walking
2016-02-24 07:23:23,still
2016-02-24 07:24:58,in_vehicle
2016-02-24 07:46:29,still
2016-02-24 07:52:41,in_vehicle
2016-02-24 08:07:53,still
2016-02-24 08:33:25,walking
2016-02-24 08:34:26,still
2016-02-24 08:57:31,walking
2016-02-24 08:59:35,still
2016-02-24 09:06:25,in_vehicle
2016-02-24 09:41:34,walking
2016-02-24 09:45:21,walking
2016-02-24 09:46:25,still
2016-02-24 09:55:25,still
2016-02-24 10:50:09,walking
2016-02-24 10:53:09,still
2016-02-24 11:00:24,in_vehicle
2016-02-24 11:17:41,still
2016-02-24 11:19:23,still
2016-02-24 11:57:22,in_vehicle
2016-02-24 12:08:51,walking
2016-02-24 12:11:14,still
2016-02-24 12:12:48,in_vehicle
2016-02-24 12:25:26,still
2016-02-24 12:28:19,in_vehicle
2016-02-24 12:47:00,walking
2016-02-24 12:49:36,in_vehicle
2016-02-24 12:50:36,walking
2016-02-24 12:52:42,still
2016-02-24 13:02:06,walking
2016-02-24 13:04:06,in_vehicle
2016-02-24 13:48:13,still
2016-02-24 13:59:39,walking
2016-02-24 14:01:09,still
2016-02-24 14:12:00,walking
2016-02-24 14:18:42,in_vehicle
2016-02-24 14:45:24,walking
2016-02-24 14:47:07,still
2016-02-24 15:01:07,walking
2016-02-24 15:03:38,in_vehicle
2016-02-24 15:27:28,still
2016-02-24 16:49:11,walking
2016-02-24 16:50:44,walking
2016-02-24 16:51:45,still
2016-02-24 17:03:11,walking
2016-02-24 17:04:12,walking
2016-02-24 17:07:15,walking
2016-02-24 17:09:21,in_vehicle
2016-02-24 17:46:05,still
2016-02-24 17:51:49,walking
2016-02-24 17:52:57,still
2016-02-24 18:26:27,still
2016-02-24 18:47:50,still
2016-02-25 00:00:00,still
2016-02-25 05:29:48,still
2016-02-25 06:14:47,walking
2016-02-25 06:16:18,still
2016-02-25 06:52:20,walking
2016-02-25 06:55:03,in_vehicle
2016-02-25 07:13:21,walking
2016-02-25 07:21:24,in_vehicle
2016-02-25 07:48:33,still
2016-02-25 07:55:54,still
2016-02-25 08:41:47,in_vehicle
2016-02-25 09:06:06,in_vehicle
2016-02-25 09:45:56,still
2016-02-25 09:47:43,walking
2016-02-25 09:55:45,walking
2016-02-25 09:59:35,still
2016-02-25 10:08:36,in_vehicle
2016-02-25 10:26:20,still
2016-02-25 10:51:42,in_vehicle
2016-02-25 11:14:49,still
2016-02-25 11:47:49,still
2016-02-25 11:48:49,in_vehicle
2016-02-25 12:19:46,still
2016-02-25 12:31:38,still
2016-02-28 00:00:00,still
2016-02-28 08:31:06,still
2016-02-28 09:01:17,in_vehicle
2016-02-28 10:08:00,still
2016-02-28 10:10:16,still
2016-02-28 11:00:16,walking
2016-02-28 11:03:57,still
2016-02-28 11:43:17,still
2016-02-28 12:22:12,walking
2016-02-28 12:24:36,still
2016-02-28 13:11:33,in_vehicle
2016-02-28 13:19:05,still
2016-02-28 13:39:56,still
2016-02-28 13:50:06,still
2016-02-28 14:22:36,in_vehicle
2016-02-28 14:39:58,still
2016-02-29 00:00:00,still
2016-02-29 06:15:42,still
2016-02-29 06:38:17,still
2016-02-29 06:49:52,in_vehicle
2016-02-29 07:42:12,still
2016-02-29 07:44:27,in_vehicle
2016-02-29 07:45:35,still
2016-02-29 09:36:20,still
2016-02-29 10:11:28,in_vehicle
2016-02-29 12:11:16,still
2016-02-29 12:53:31,still
2016-02-29 13:15:59,in_vehicle
2016-02-29 13:56:58,still
2016-02-29 14:00:06,walking
2016-02-29 14:01:07,in_vehicle
2016-02-29 14:34:19,still
2016-02-29 14:39:39,walking
2016-02-29 14:52:27,still
2016-02-29 14:55:36,walking
2016-02-29 14:59:08,still
2016-02-29 15:34:01,walking
2016-02-29 15:37:31,still
2016-02-29 16:15:57,walking
2016-02-29 16:26:49,still
2016-02-29 18:30:35,walking
2016-02-29 18:37:58,in_vehicle
2016-03-01 00:00:00,still
2016-03-01 06:49:48,still
2016-03-01 06:51:02,walking
