date,ActivFit
2015-12-29 00:00:00,still
2015-12-29 07:17:14,still
2015-12-29 09:30:55,walking
2015-12-29 09:32:37,still
2015-12-29 10:00:54,walking
2015-12-29 10:08:11,still
2015-12-29 10:15:10,walking
2015-12-29 10:17:26,walking
2015-12-29 10:22:03,still
2015-12-29 11:00:22,still
2015-12-29 11:09:14,still
2015-12-29 11:18:31,still
2015-12-29 11:49:01,in_vehicle
2015-12-29 12:07:50,still
2015-12-29 12:14:16,still
2015-12-29 12:15:59,in_vehicle
2015-12-29 12:47:06,still
2015-12-29 12:58:27,walking
2015-12-29 13:02:35,still
2015-12-29 13:29:03,still
2015-12-29 14:28:10,still
2015-12-29 14:32:19,walking
2015-12-29 14:33:21,walking
2015-12-29 14:34:59,walking
2015-12-29 14:38:56,walking
2015-12-29 14:43:35,still
2015-12-29 14:51:54,walking
2015-12-29 14:58:39,walking
2015-12-29 15:02:54,still
2015-12-29 16:21:16,still
2015-12-29 16:47:27,still
2015-12-29 16:56:53,walking
2015-12-29 16:57:59,still
2015-12-29 18:00:10,still
2015-12-29 20:28:21,still
2015-12-29 20:35:09,still
2015-12-29 22:42:51,still
2015-12-30 00:00:00,still
2015-12-30 08:46:31,still
2015-12-30 08:57:30,still
2015-12-30 10:46:31,in_vehicle
2015-12-30 10:56:00,still
2015-12-30 11:10:51,still
2015-12-30 11:32:17,still
2015-12-30 11:43:53,walking
2015-12-30 11:45:37,still
2015-12-30 11:55:40,walking
2015-12-30 11:58:27,walking
2015-12-30 12:00:52,still
2015-12-30 12:01:54,walking
2015-12-30 12:03:32,walking
2015-12-30 12:13:38,still
2015-12-30 12:20:46,in_vehicle
2015-12-30 12:30:49,still
2015-12-30 13:53:58,walking
2015-12-30 14:03:32,walking
2015-12-30 14:04:54,walking
2015-12-30 14:05:58,walking
2015-12-30 14:07:59,walking
2015-12-30 14:10:41,still
2015-12-30 15:47:58,walking
2015-12-30 15:54:59,walking
2015-12-30 15:58:58,walking
2015-12-30 16:00:12,walking
2015-12-30 16:16:28,still
2015-12-30 16:36:23,still
2015-12-30 16:39:45,walking
2015-12-30 16:40:57,walking
2015-12-30 16:43:32,walking
2015-12-30 16:46:41,walking
2015-12-30 16:50:02,still
2015-12-30 17:42:05,walking
2015-12-30 17:43:21,still
2015-12-30 21:23:25,still
2015-12-30 21:53:29,still
2015-12-31 08:45:31,still
2015-12-31 10:47:53,walking
2015-12-31 10:49:58,walking
2015-12-31 10:52:03,still
2015-12-31 11:00:56,walking
2015-12-31 11:02:30,still
2015-12-31 11:39:53,walking
2015-12-31 11:40:53,still
2015-12-31 12:52:48,in_vehicle
2015-12-31 13:24:43,still
2015-12-31 13:33:06,still
2015-12-31 13:42:56,walking
2015-12-31 13:44:17,still
2015-12-31 13:51:12,still
2015-12-31 14:20:41,still
2015-12-31 14:37:20,walking
2015-12-31 14:39:39,still
2015-12-31 14:58:20,still
2015-12-31 16:22:59,walking
2015-12-31 16:24:09,still
2015-12-31 19:20:24,walking
2015-12-31 19:22:06,still
2015-12-31 22:54:23,still
2016-01-01 00:00:00,still
2016-01-01 00:28:24,still
2016-01-01 01:08:02,still
2016-01-01 08:25:27,still
2016-01-01 10:43:53,still
2016-01-01 10:57:14,still
2016-01-01 11:05:53,still
2016-01-01 11:36:54,walking
2016-01-01 11:50:39,still
2016-01-01 14:04:19,still
2016-01-01 14:47:23,still
2016-01-01 14:53:23,still
2016-01-01 15:25:47,still
2016-01-01 15:52:30,still
2016-01-01 16:20:18,walking
2016-01-01 16:22:24,still
2016-01-01 17:08:03,in_vehicle
2016-01-01 17:17:36,still
2016-01-01 17:29:27,still
2016-01-01 19:40:31,walking
2016-01-01 19:47:29,still
2016-01-01 19:57:55,walking
2016-01-01 20:00:13,walking
2016-01-01 20:01:21,walking
2016-01-01 20:05:08,still
2016-01-01 21:09:24,walking
2016-01-01 21:16:56,walking
2016-01-01 21:20:54,still
2016-01-02 00:00:00,still
2016-01-02 09:37:53,still
2016-01-02 11:33:23,still
2016-01-02 11:34:54,in_vehicle
2016-01-02 11:41:49,still
2016-01-02 11:42:54,walking
2016-01-02 11:46:54,walking
2016-01-02 11:49:23,still
2016-01-02 11:55:00,walking
2016-01-02 11:57:32,still
2016-01-02 12:10:30,walking
2016-01-02 12:15:49,still
2016-01-02 12:21:00,walking
2016-01-02 12:42:10,still
2016-01-02 12:46:16,walking
2016-01-02 12:48:04,in_vehicle
2016-01-02 12:59:42,walking
2016-01-02 13:01:21,still
2016-01-02 13:05:54,walking
2016-01-02 13:06:58,still
2016-01-02 13:14:52,walking
2016-01-02 13:30:33,still
2016-01-02 14:18:54,walking
2016-01-02 14:19:59,walking
2016-01-02 14:29:55,still
2016-01-02 14:42:47,still
2016-01-02 15:01:18,still
2016-01-02 15:16:23,in_vehicle
2016-01-02 15:31:07,still
2016-01-02 15:35:47,still
2016-01-02 17:37:04,still
2016-01-02 18:27:18,still
2016-01-02 20:25:22,still
2016-01-02 20:35:50,walking
2016-01-02 20:42:13,still
2016-01-02 21:54:01,still
2016-01-03 00:00:00,still
2016-01-03 08:43:35,still
2016-01-03 12:03:28,still
2016-01-03 12:14:55,still
2016-01-03 12:42:04,still
2016-01-03 12:55:06,still
2016-01-03 13:05:15,walking
2016-01-03 13:07:55,walking
2016-01-03 13:09:00,walking
