date,ActivFit
2016-02-04 12:00:00,table_tennis
2016-02-04 17:39:48,still
2016-02-04 17:46:41,in_vehicle
2016-02-04 18:55:33,walking
2016-02-04 18:56:59,in_vehicle
2016-02-04 19:15:33,still
2016-02-04 19:55:17,walking
2016-02-04 19:57:01,still
2016-02-04 21:54:44,still
2016-02-05 00:00:00,still
2016-02-05 09:57:47,still
2016-02-05 10:34:01,walking
2016-02-05 10:35:31,still
2016-02-05 11:11:09,walking
2016-02-05 11:12:54,still
2016-02-05 11:29:41,still
2016-02-05 12:31:13,still
2016-02-05 13:47:11,still
2016-02-05 15:31:06,in_vehicle
2016-02-05 15:48:10,still
2016-02-05 18:19:46,walking
2016-02-05 18:21:09,in_vehicle
2016-02-05 18:29:59,still
2016-02-05 19:02:31,still
2016-02-05 21:23:51,still
2016-02-05 22:39:50,still
2016-02-05 23:23:20,in_vehicle
2016-02-05 23:31:36,still
2016-02-06 00:00:00,still
2016-02-06 14:36:52,in_vehicle
2016-02-06 14:53:06,still
2016-02-06 16:35:26,walking
2016-02-06 16:36:55,still
2016-02-06 16:39:52,walking
2016-02-06 16:45:35,still
2016-02-06 17:04:38,still
2016-02-06 17:59:47,still
2016-02-06 19:25:04,in_vehicle
2016-02-06 19:36:19,still
2016-02-06 19:42:19,walking
2016-02-06 19:47:57,in_vehicle
2016-02-06 19:59:46,still
2016-02-06 20:14:28,walking
2016-02-06 20:19:08,still
2016-02-06 23:02:05,still
2016-02-07 00:00:00,still
2016-02-07 15:13:02,walking
2016-02-07 15:23:27,still
2016-02-07 17:43:34,still
2016-02-07 18:32:14,still
2016-02-07 19:09:20,still
2016-02-07 19:12:09,in_vehicle
2016-02-07 19:20:16,still
2016-02-07 19:35:36,still
2016-02-07 22:49:55,still
2016-02-08 00:00:00,still
2016-02-08 08:04:24,still
2016-02-08 08:51:46,still
2016-02-08 09:50:33,still
2016-02-08 09:57:56,still
2016-02-08 11:36:27,walking
2016-02-08 11:37:55,still
2016-02-08 11:50:39,still
2016-02-08 13:53:55,still
2016-02-08 14:23:13,walking
2016-02-08 14:26:33,in_vehicle
2016-02-08 14:39:09,walking
2016-02-08 14:41:41,still
2016-02-08 16:24:05,in_vehicle
2016-02-08 17:03:06,still
2016-02-08 17:20:21,still
2016-02-08 17:57:12,still
2016-02-08 18:08:39,still
