date,ActivFit
2016-01-29 00:00:00,still
2016-01-29 08:04:13,in_vehicle
2016-01-29 08:14:05,walking
2016-01-29 08:15:44,still
2016-01-29 08:45:56,walking
2016-01-29 08:46:58,still
2016-01-29 10:17:58,walking
2016-01-29 10:19:42,still
2016-01-29 10:24:00,in_vehicle
2016-01-29 10:42:54,walking
2016-01-29 10:44:12,in_vehicle
2016-01-29 12:06:16,still
2016-01-29 13:19:32,still
2016-01-29 14:20:50,walking
2016-01-29 14:29:10,still
2016-01-29 14:35:33,walking
2016-01-29 14:36:37,still
2016-01-29 14:40:30,in_vehicle
2016-01-29 14:55:29,still
2016-01-29 15:29:54,walking
2016-01-29 15:30:58,still
2016-01-29 15:46:46,in_vehicle
2016-01-29 16:05:37,still
2016-01-29 18:53:20,still
2016-01-29 19:01:48,still
2016-01-29 19:06:40,in_vehicle
2016-01-29 19:13:38,walking
2016-01-29 19:14:56,in_vehicle
2016-01-29 19:38:51,still
2016-01-29 19:44:29,walking
2016-01-29 19:46:02,still
2016-01-29 19:47:25,in_vehicle
2016-01-29 19:59:23,still
2016-01-29 20:00:42,walking
2016-01-29 20:05:40,still
2016-01-29 22:19:59,still
2016-01-29 22:25:25,still
2016-01-29 23:15:30,still
2016-01-30 00:00:00,still
2016-01-30 09:45:42,in_vehicle
2016-01-30 09:53:20,walking
2016-01-30 09:55:34,still
2016-01-30 10:04:38,still
2016-01-30 12:15:13,walking
2016-01-30 12:16:23,still
2016-01-30 14:49:05,still
2016-01-30 15:27:18,still
2016-01-30 15:30:04,in_vehicle
2016-01-30 15:51:01,walking
2016-01-30 15:52:17,in_vehicle
2016-01-30 16:08:52,still
2016-01-30 16:11:26,walking
2016-01-30 16:13:09,still
2016-01-30 16:15:52,in_vehicle
2016-01-30 16:27:34,still
2016-01-30 17:00:44,still
2016-01-30 17:03:30,in_vehicle
2016-01-30 17:20:59,still
2016-01-30 17:38:42,still
2016-01-30 18:23:46,still
2016-01-30 18:51:04,in_vehicle
2016-01-30 19:12:38,still
2016-01-30 19:31:30,still
2016-01-31 00:00:00,still
2016-01-31 16:26:46,walking
2016-01-31 16:51:43,walking
2016-01-31 17:03:06,still
2016-01-31 19:05:08,still
2016-01-31 20:34:42,walking
2016-02-01 00:00:00,still
2016-02-01 08:33:59,in_vehicle
2016-02-01 08:49:19,still
2016-02-01 09:37:46,still
2016-02-01 11:40:38,still
2016-02-01 12:42:48,walking
2016-02-01 12:44:48,still
2016-02-01 13:02:47,still
2016-02-01 13:05:13,in_vehicle
2016-02-01 13:29:35,walking
2016-02-01 13:45:32,still
2016-02-01 13:53:36,walking
2016-02-01 13:56:36,still
2016-02-01 14:00:53,walking
2016-02-01 14:02:37,still
2016-02-01 14:08:33,walking
2016-02-01 14:34:22,walking
2016-02-01 14:43:27,in_vehicle
2016-02-01 14:58:35,walking
2016-02-01 15:01:28,still
2016-02-01 15:50:16,in_vehicle
2016-02-01 16:03:23,walking
2016-02-01 16:06:14,still
2016-02-01 16:43:49,still
2016-02-01 19:50:29,still
2016-02-01 19:53:26,in_vehicle
2016-02-01 20:06:25,still
2016-02-01 20:32:09,still
2016-02-01 20:54:14,walking
2016-02-01 21:06:40,running
2016-02-01 21:10:18,walking
2016-02-01 21:16:55,running
2016-02-01 21:17:55,walking
2016-02-01 21:30:51,still
2016-02-02 00:00:00,still
2016-02-02 00:16:22,in_vehicle
2016-02-02 00:25:49,walking
2016-02-02 00:27:23,still
2016-02-02 08:23:34,in_vehicle
2016-02-02 08:38:05,still
2016-02-02 09:43:36,still
2016-02-02 11:06:33,walking
2016-02-02 11:10:00,in_vehicle
