date,ActivFit
2016-06-21 00:00:00,still
2016-06-21 07:21:42,in_vehicle
2016-06-21 07:31:29,still
2016-06-21 07:38:38,walking
2016-06-21 07:40:31,still
2016-06-21 07:56:19,in_vehicle
2016-06-21 08:24:53,walking
2016-06-21 08:27:32,in_vehicle
2016-06-21 08:32:59,still
2016-06-21 09:31:40,walking
2016-06-21 09:35:07,walking
2016-06-21 09:36:09,still
2016-06-21 10:52:55,walking
2016-06-21 10:54:43,still
2016-06-21 12:30:41,walking
2016-06-21 12:34:28,still
2016-06-21 12:37:26,walking
2016-06-21 12:39:26,walking
2016-06-21 12:40:39,still
2016-06-21 12:47:46,walking
2016-06-21 12:48:59,still
2016-06-21 12:50:35,walking
2016-06-21 12:51:44,in_vehicle
2016-06-21 13:17:37,walking
2016-06-21 13:19:01,still
2016-06-21 13:24:48,still
2016-06-21 13:30:19,walking
2016-06-21 13:36:40,still
2016-06-21 14:39:00,in_vehicle
2016-06-21 14:44:34,still
2016-06-21 15:22:12,walking
2016-06-21 15:23:31,still
2016-06-21 17:11:01,walking
2016-06-21 17:12:15,still
2016-06-21 21:08:26,still
2016-06-21 22:41:47,still
2016-06-22 00:00:00,still
2016-06-22 07:37:50,walking
2016-06-22 07:40:45,still
2016-06-22 07:42:30,walking
2016-06-22 07:43:48,still
2016-06-22 07:54:45,walking
2016-06-22 07:55:51,still
2016-06-22 07:59:56,in_vehicle
2016-06-22 08:21:03,still
2016-06-22 08:41:18,in_vehicle
2016-06-22 08:56:11,still
2016-06-22 08:57:21,walking
2016-06-22 08:59:35,still
2016-06-22 09:02:36,still
2016-06-22 09:16:27,walking
2016-06-22 09:18:38,walking
2016-06-22 09:20:44,still
2016-06-22 09:24:24,walking
2016-06-22 09:31:04,still
2016-06-22 09:34:12,still
2016-06-22 09:46:46,in_vehicle
2016-06-22 09:48:29,still
2016-06-22 09:57:00,walking
2016-06-22 09:58:00,still
2016-06-22 10:04:36,still
2016-06-22 10:07:30,walking
2016-06-22 10:09:57,in_vehicle
2016-06-22 10:31:41,still
2016-06-22 10:38:20,still
2016-06-22 10:58:29,still
2016-06-22 11:24:40,still
2016-06-22 11:33:39,walking
2016-06-22 11:35:37,in_vehicle
2016-06-22 12:09:19,walking
2016-06-22 12:12:04,in_vehicle
2016-06-22 12:18:11,still
2016-06-22 12:31:23,still
2016-06-22 12:42:31,still
2016-06-22 12:44:48,in_vehicle
2016-06-22 13:08:03,walking
2016-06-22 13:09:58,in_vehicle
2016-06-22 13:13:38,walking
2016-06-22 13:16:15,still
2016-06-22 13:40:25,in_vehicle
2016-06-22 13:50:24,still
2016-06-22 14:17:22,still
2016-06-22 14:20:00,in_vehicle
2016-06-22 14:21:58,walking
2016-06-22 14:28:59,still
2016-06-22 14:33:59,still
2016-06-22 14:37:21,still
2016-06-22 14:42:05,walking
2016-06-22 14:45:54,still
2016-06-22 14:48:08,walking
2016-06-22 14:56:11,still
2016-06-22 15:00:14,walking
2016-06-22 15:08:06,walking
2016-06-22 15:13:44,still
2016-06-22 15:18:03,still
2016-06-22 15:20:42,walking
2016-06-22 15:29:29,walking
2016-06-22 15:31:29,in_vehicle
2016-06-22 16:09:02,walking
2016-06-22 16:11:59,still
2016-06-22 16:17:54,walking
2016-06-22 16:26:10,walking
2016-06-22 16:29:52,still
2016-06-22 16:40:43,walking
2016-06-22 16:41:49,still
2016-06-22 16:55:38,still
2016-06-22 17:00:10,walking
2016-06-22 17:01:53,still
2016-06-22 17:06:11,still
2016-06-22 17:07:24,walking
2016-06-22 17:08:27,still
2016-06-22 17:21:28,still
2016-06-22 17:44:30,still
2016-06-22 23:28:42,walking
2016-06-22 23:30:12,still
2016-06-23 00:00:00,still
2016-06-23 13:32:59,walking
2016-06-23 13:34:48,still
2016-06-23 13:37:03,walking
2016-06-23 13:38:39,still
2016-06-23 17:10:39,still
2016-06-23 18:14:40,walking
2016-06-23 18:16:00,still
2016-06-23 19:12:53,in_vehicle
2016-06-23 19:40:06,still
2016-06-23 22:59:45,still
2016-06-24 00:00:00,still
2016-06-24 08:56:34,walking
2016-06-24 08:58:28,still
2016-06-24 09:16:26,walking
