date,ActivFit
2016-02-27 00:00:00,still
2016-02-27 04:31:37,still
2016-02-27 06:37:45,still
2016-02-27 06:50:18,strength_training
2016-02-27 07:08:41,still
2016-02-27 07:35:54,still
2016-02-27 08:30:23,still
2016-02-27 09:04:47,still
2016-02-27 09:08:02,walking
2016-02-27 09:09:36,still
2016-02-27 09:12:30,walking
2016-02-27 09:15:34,in_vehicle
2016-02-27 09:29:52,walking
2016-02-27 09:35:58,walking
2016-02-27 09:44:02,walking
2016-02-27 09:48:20,in_vehicle
2016-02-27 10:12:26,in_vehicle
2016-02-27 10:27:30,walking
2016-02-27 10:29:47,still
2016-02-27 10:33:37,in_vehicle
2016-02-27 10:45:10,walking
2016-02-27 10:46:52,walking
2016-02-27 10:50:30,still
2016-02-27 10:54:13,in_vehicle
2016-02-27 11:14:40,walking
2016-02-27 11:41:00,in_vehicle
2016-02-27 11:56:38,still
2016-02-27 12:21:21,in_vehicle
2016-02-27 13:16:32,walking
2016-02-27 13:24:38,still
2016-02-27 13:36:05,walking
2016-02-27 13:45:20,still
2016-02-27 13:47:45,walking
2016-02-27 13:54:34,still
2016-02-27 14:19:08,in_vehicle
2016-02-27 14:22:07,walking
2016-02-27 14:32:33,in_vehicle
2016-02-27 14:43:07,walking
2016-02-27 15:00:19,in_vehicle
2016-02-27 15:11:53,walking
2016-02-27 15:13:17,still
2016-02-27 15:53:53,still
2016-02-27 17:03:09,in_vehicle
2016-02-27 17:12:03,still
2016-02-27 17:20:24,still
2016-02-27 17:25:35,walking
2016-02-27 17:59:03,walking
2016-02-27 18:00:25,in_vehicle
2016-02-27 18:28:24,still
2016-02-27 18:51:48,walking
2016-02-27 18:53:35,still
2016-02-27 19:03:18,still
2016-02-28 04:20:56,still
2016-02-28 07:45:12,walking
2016-02-28 07:46:17,still
2016-02-28 07:48:35,still
2016-02-28 07:59:14,still
2016-02-28 10:58:04,walking
2016-02-28 11:00:12,in_vehicle
2016-02-28 11:50:43,walking
2016-02-28 11:52:49,still
2016-02-28 12:04:53,still
2016-02-28 13:13:34,still
2016-02-28 14:09:55,still
2016-02-28 14:13:03,in_vehicle
2016-02-28 14:53:12,still
2016-02-28 15:02:03,walking
2016-02-28 15:12:13,in_vehicle
2016-02-28 15:26:17,still
2016-02-28 15:58:29,walking
2016-02-28 16:00:40,still
2016-02-28 16:01:42,in_vehicle
2016-02-28 18:06:32,still
2016-02-28 19:53:55,in_vehicle
2016-02-28 20:37:13,walking
2016-02-28 20:40:26,still
2016-02-28 22:10:49,in_vehicle
2016-02-28 22:13:39,still
2016-02-28 22:19:52,still
2016-02-29 04:23:32,still
2016-02-29 06:04:56,walking
2016-02-29 06:08:35,strength_training
2016-02-29 06:20:35,still
2016-02-29 06:22:29,still
2016-02-29 06:50:13,walking
2016-02-29 06:51:24,still
2016-02-29 07:01:31,walking
2016-02-29 07:02:54,still
2016-02-29 07:51:21,walking
2016-02-29 07:56:51,still
2016-02-29 08:23:42,walking
2016-02-29 08:25:05,still
2016-02-29 09:22:04,walking
2016-02-29 09:28:35,still
2016-02-29 09:36:10,in_vehicle
2016-02-29 09:44:22,walking
2016-02-29 09:49:25,walking
2016-02-29 10:05:20,still
2016-02-29 10:19:24,in_vehicle
2016-02-29 10:52:01,walking
2016-02-29 10:54:06,still
2016-02-29 11:11:58,in_vehicle
2016-02-29 11:26:39,walking
2016-02-29 11:41:35,walking
2016-02-29 11:45:52,in_vehicle
2016-02-29 11:57:21,still
2016-02-29 12:15:13,still
2016-02-29 12:56:12,walking
2016-02-29 13:00:47,still
2016-02-29 13:18:26,walking
2016-02-29 13:23:13,still
2016-02-29 13:42:50,walking
2016-02-29 13:46:10,still
2016-02-29 14:05:18,walking
2016-02-29 14:11:40,still
2016-02-29 14:23:22,still
2016-02-29 14:27:25,walking
2016-02-29 14:30:41,still
2016-02-29 14:38:23,walking
2016-02-29 14:45:34,in_vehicle
2016-02-29 15:00:17,walking
2016-02-29 15:10:58,still
2016-02-29 15:19:09,walking
2016-02-29 15:53:40,still
2016-02-29 16:31:40,still
2016-02-29 16:35:52,in_vehicle
2016-02-29 16:52:24,walking
2016-02-29 17:11:23,still
2016-02-29 17:15:49,in_vehicle
2016-02-29 17:27:43,walking
2016-02-29 17:29:37,still
2016-02-29 18:54:02,walking
2016-02-29 18:55:02,still
2016-02-29 19:22:02,walking
2016-02-29 19:23:33,still
2016-02-29 19:34:13,in_vehicle
2016-02-29 19:42:05,still
2016-03-02 00:00:00,still
2016-03-02 00:25:09,still
2016-03-02 04:21:16,still
2016-03-02 06:01:36,still
2016-03-04 04:20:55,still
2016-03-04 06:07:47,walking
2016-03-04 06:36:25,still
2016-03-04 07:52:05,still
2016-03-04 08:27:23,walking
2016-03-04 08:33:07,still
2016-03-04 08:50:58,walking
2016-03-04 09:05:17,walking
2016-03-04 09:06:18,in_vehicle
2016-03-04 09:26:50,walking
2016-03-04 10:02:14,still
2016-03-04 10:08:24,in_vehicle
2016-03-04 10:26:46,still
2016-03-04 10:58:01,walking
2016-03-04 10:59:05,in_vehicle
2016-03-04 11:17:09,walking
2016-03-04 11:24:49,in_vehicle
2016-03-04 11:36:28,walking
2016-03-04 11:43:35,walking
2016-03-04 11:54:39,in_vehicle
2016-03-04 12:30:08,walking
2016-03-04 12:31:45,still
2016-03-04 12:56:02,still
2016-03-04 13:03:06,walking
2016-03-04 13:09:45,still
2016-03-04 13:18:46,still
2016-03-04 14:01:24,walking
2016-03-04 14:03:40,still
2016-03-04 14:23:15,walking
2016-03-04 14:33:09,still
2016-03-04 14:43:12,walking
2016-03-04 14:44:44,still
2016-03-04 14:55:42,still
2016-03-04 15:09:41,walking
2016-03-04 15:12:44,still
2016-03-04 16:28:03,walking
2016-03-04 16:35:38,still
2016-03-04 16:37:44,still
2016-03-04 17:00:41,walking
2016-03-04 17:02:13,still
2016-03-04 18:35:39,walking
2016-03-04 18:36:56,still
2016-03-04 18:43:47,walking
2016-03-04 18:44:52,still
2016-03-04 19:02:17,still
2016-03-04 19:06:22,walking
2016-03-04 19:08:25,still
2016-03-04 22:05:14,still
2016-03-05 00:00:00,still
2016-03-05 05:13:20,still
2016-03-05 06:34:08,strength_training
2016-03-05 06:59:33,still
2016-03-05 07:23:26,still
2016-03-05 07:47:41,still
2016-03-05 07:59:38,walking
2016-03-05 08:05:45,still
2016-03-05 08:08:50,walking
2016-03-05 08:14:37,still
2016-03-05 08:46:39,walking
2016-03-05 08:50:47,still
2016-03-05 09:37:35,walking
2016-03-05 09:38:45,still
2016-03-05 10:12:11,in_vehicle
2016-03-05 11:33:32,still
2016-03-05 11:37:29,walking
2016-03-05 11:39:44,in_vehicle
2016-03-05 11:42:12,walking
2016-03-05 12:01:03,still
2016-03-05 12:11:38,in_vehicle
2016-03-05 12:28:23,walking
2016-03-05 12:29:44,still
2016-03-05 12:37:23,in_vehicle
2016-03-05 12:52:08,still
2016-03-05 12:56:40,walking
2016-03-05 13:00:51,still
2016-03-05 13:12:40,walking
2016-03-05 13:24:39,still
2016-03-05 13:29:41,in_vehicle
2016-03-05 14:24:52,walking
2016-03-05 14:51:09,still
2016-03-05 14:54:00,walking
2016-03-05 15:22:06,still
2016-03-05 15:27:10,walking
2016-03-05 15:31:00,in_vehicle
2016-03-05 15:47:33,still
2016-03-05 15:53:06,in_vehicle
2016-03-05 16:02:46,walking
2016-03-05 16:07:44,still
2016-03-05 16:12:17,walking
2016-03-05 16:13:34,still
2016-03-05 17:16:02,walking
2016-03-05 17:17:02,still
2016-03-05 17:18:37,in_vehicle
2016-03-05 17:42:45,walking
2016-03-05 17:44:56,still
2016-03-05 19:06:32,walking
