date,ActivFit
2017-01-30 09:23:59,still
2017-01-30 09:29:07,still
2017-01-30 10:12:33,in_vehicle
2017-01-30 10:28:52,in_vehicle
2017-01-30 10:40:42,still
2017-01-30 10:42:44,still
2017-01-30 10:45:43,in_vehicle
2017-01-30 10:58:27,in_vehicle
2017-01-30 11:06:00,still
2017-01-30 11:17:43,still
2017-01-30 11:27:46,walking
2017-01-30 11:33:22,still
2017-01-30 11:43:40,still
2017-01-30 12:10:25,still
2017-01-30 12:50:46,still
2017-01-30 12:56:36,still
2017-01-30 13:06:06,still
2017-01-30 13:16:06,still
2017-01-30 13:39:34,still
2017-01-30 14:01:51,still
2017-01-30 14:17:20,still
2017-01-30 14:22:13,still
2017-01-30 14:39:12,still
2017-01-30 14:50:53,still
2017-01-30 15:00:11,still
2017-01-30 15:04:51,walking
2017-01-30 15:10:22,still
2017-01-30 15:17:58,still
2017-01-30 15:30:10,still
2017-01-30 15:33:12,still
2017-01-30 17:13:02,still
2017-01-30 17:20:23,still
2017-01-30 18:19:53,still
2017-01-30 18:22:00,in_vehicle
2017-01-30 18:31:13,walking
2017-01-30 18:33:17,walking
2017-01-30 18:35:27,in_vehicle
2017-01-30 18:40:24,in_vehicle
2017-01-30 18:48:55,still
2017-01-30 19:50:37,still
2017-01-30 21:07:27,still
2017-01-31 00:00:00,still
2017-01-31 09:22:51,in_vehicle
2017-01-31 09:35:31,still
2017-01-31 09:53:27,in_vehicle
2017-01-31 10:04:46,walking
2017-01-31 10:06:02,still
2017-01-31 10:07:30,in_vehicle
2017-01-31 10:32:11,walking
2017-01-31 10:34:17,walking
2017-01-31 10:38:06,still
2017-01-31 10:40:37,in_vehicle
2017-01-31 11:06:03,walking
2017-01-31 11:07:13,in_vehicle
2017-01-31 11:14:12,still
2017-01-31 11:18:37,still
2017-01-31 11:19:50,in_vehicle
2017-01-31 11:41:20,still
2017-01-31 12:04:25,still
2017-01-31 12:09:33,still
2017-01-31 12:14:37,walking
2017-01-31 12:15:42,in_vehicle
2017-01-31 12:38:18,in_vehicle
2017-01-31 12:45:53,walking
