date,ActivFit
2016-01-23 00:00:00,still
2016-01-23 00:53:43,still
2016-01-23 07:08:55,still
2016-01-23 07:33:51,walking
2016-01-23 07:36:54,still
2016-01-23 07:55:19,still
2016-01-23 07:57:38,walking
2016-01-23 08:02:36,in_vehicle
2016-01-23 08:24:20,walking
2016-01-23 08:27:06,still
2016-01-23 08:29:44,in_vehicle
2016-01-23 08:39:33,walking
2016-01-23 08:49:12,walking
2016-01-23 08:52:49,still
2016-01-23 08:59:38,walking
2016-01-23 09:09:57,walking
2016-01-23 09:13:20,still
2016-01-23 09:48:19,walking
2016-01-23 09:50:44,still
2016-01-23 10:08:02,walking
2016-01-23 10:10:31,still
2016-01-23 10:23:05,walking
2016-01-23 10:26:53,still
2016-01-23 10:36:00,walking
2016-01-23 10:39:13,still
2016-01-23 10:40:22,in_vehicle
2016-01-23 11:02:10,walking
2016-01-23 11:05:32,still
2016-01-23 14:55:28,still
2016-01-23 16:40:35,walking
2016-01-23 16:41:45,still
2016-01-23 17:15:59,walking
2016-01-23 17:24:17,still
2016-01-23 17:33:13,in_vehicle
2016-01-23 17:48:03,walking
2016-01-23 17:51:13,still
2016-01-23 18:54:24,walking
2016-01-23 18:59:21,still
2016-01-23 19:00:54,in_vehicle
2016-01-23 19:09:25,still
2016-01-23 19:23:57,walking
2016-01-23 19:25:03,still
2016-01-23 19:54:11,walking
2016-01-23 19:55:12,still
2016-01-23 22:56:27,still
2016-01-24 00:00:00,still
2016-01-24 09:45:48,still
2016-01-24 10:16:34,still
2016-01-24 11:27:17,still
2016-01-24 11:41:00,walking
2016-01-24 11:42:04,still
2016-01-24 13:38:59,still
2016-01-24 15:14:39,still
2016-01-24 17:21:48,walking
2016-01-24 17:24:27,still
2016-01-24 18:19:54,still
2016-01-24 19:02:33,walking
2016-01-24 19:03:34,still
2016-01-24 19:55:33,walking
2016-01-24 19:58:23,still
2016-01-24 21:50:11,still
2016-01-24 22:56:49,still
2016-01-25 00:00:00,still
2016-01-25 06:07:52,walking
2016-01-25 06:09:30,running
2016-01-25 06:13:47,walking
2016-01-25 06:16:13,in_vehicle
2016-01-25 06:38:20,walking
2016-01-25 06:39:44,in_vehicle
2016-01-25 07:00:52,walking
2016-01-25 07:07:37,still
2016-01-25 10:47:42,still
2016-01-25 14:01:44,walking
2016-01-25 14:05:18,walking
2016-01-25 14:07:36,still
2016-01-25 14:09:06,walking
2016-01-25 14:10:44,still
2016-01-25 14:30:50,walking
2016-01-25 14:38:09,still
2016-01-25 15:52:20,in_vehicle
2016-01-25 16:13:36,still
2016-01-25 16:17:46,walking
2016-01-25 16:22:41,still
2016-01-25 23:06:37,still
2016-01-26 00:00:00,still
2016-01-26 09:29:43,still
2016-01-26 09:50:34,walking
2016-01-26 09:52:07,still
2016-01-26 10:09:55,still
2016-01-26 10:26:58,walking
2016-01-26 10:32:36,still
2016-01-26 10:51:19,still
2016-01-26 11:04:08,still
2016-01-26 11:17:31,still
2016-01-26 11:28:29,walking
2016-01-26 11:30:00,still
2016-01-26 22:17:05,still
2016-01-26 23:11:35,still
2016-01-27 00:00:00,still
2016-01-27 06:23:36,walking
2016-01-27 06:31:44,still
2016-01-27 06:32:48,in_vehicle
2016-01-27 06:56:31,walking
2016-01-27 06:57:35,in_vehicle
2016-01-27 07:24:03,walking
2016-01-27 07:31:13,still
2016-01-27 11:11:08,still
2016-01-27 14:26:00,walking
2016-01-27 14:29:59,still
2016-01-27 15:04:29,walking
2016-01-27 15:08:51,still
2016-01-27 15:41:47,still
2016-01-27 15:55:24,walking
2016-01-27 16:01:22,in_vehicle
2016-01-27 16:27:07,walking
2016-01-27 16:28:31,in_vehicle
2016-01-27 16:50:54,still
2016-01-27 16:55:05,walking
2016-01-27 16:56:12,walking
2016-01-27 17:07:00,still
2016-01-27 18:15:08,walking
2016-01-27 18:18:18,walking
2016-01-27 18:20:18,walking
2016-01-27 18:35:38,walking
2016-01-27 18:44:19,still
2016-01-27 22:04:17,still
2016-01-27 22:58:21,still
2016-01-28 00:00:00,still
2016-01-28 08:22:07,still
2016-01-28 08:29:23,in_vehicle
2016-01-28 08:42:40,walking
2016-01-28 08:46:58,still
2016-01-28 09:02:21,walking
2016-01-28 09:04:55,in_vehicle
2016-01-28 09:20:21,walking
2016-01-28 09:22:56,still
2016-01-28 12:44:16,running
2016-01-28 12:47:23,still
2016-01-28 12:49:31,running
