date,ActivFit
2016-06-27 00:00:00,still
2016-06-27 06:30:35,in_vehicle
2016-06-27 07:11:35,still
2016-06-27 08:15:00,walking
2016-06-27 08:18:05,still
2016-06-27 09:02:49,walking
2016-06-27 09:32:42,walking
2016-06-27 09:34:15,still
2016-06-27 13:53:31,still
2016-06-27 16:01:29,walking
2016-06-27 16:03:16,in_vehicle
2016-06-27 16:38:59,still
2016-06-27 17:02:40,still
2016-06-27 17:45:12,in_vehicle
2016-06-27 18:05:38,still
2016-06-27 18:09:02,in_vehicle
2016-06-27 18:46:25,still
