date,ActivFit
2016-03-17 00:00:00,still
2016-03-17 00:36:12,still
2016-03-17 10:54:45,still
2016-03-17 11:29:13,still
2016-03-17 12:10:44,still
2016-03-17 13:24:11,running
2016-03-17 13:25:44,still
2016-03-17 13:43:41,still
2016-03-17 15:27:47,walking
2016-03-17 15:29:21,still
2016-03-17 19:14:50,still
2016-03-17 19:53:58,walking
2016-03-17 19:55:35,walking
2016-03-17 20:06:50,still
2016-03-17 20:11:56,still
2016-03-17 20:12:58,walking
2016-03-17 20:23:14,in_vehicle
2016-03-17 20:53:01,walking
2016-03-17 20:54:23,still
2016-03-17 21:00:31,in_vehicle
2016-03-17 21:07:27,walking
2016-03-17 21:11:27,still
2016-03-18 00:00:00,still
2016-03-18 01:40:59,still
2016-03-18 01:56:40,in_vehicle
2016-03-18 02:09:48,still
2016-03-18 02:43:08,still
2016-03-18 10:16:48,still
2016-03-18 11:03:49,still
2016-03-18 14:36:20,still
2016-03-18 15:33:41,in_vehicle
2016-03-18 17:16:15,still
2016-03-18 17:27:45,walking
2016-03-18 17:29:16,still
2016-03-18 17:31:03,in_vehicle
2016-03-18 17:55:25,walking
2016-03-18 18:01:13,still
2016-03-18 18:28:19,still
2016-03-18 19:03:24,walking
2016-03-18 19:04:54,still
2016-03-18 19:35:29,walking
2016-03-18 19:37:15,still
2016-03-18 19:40:04,in_vehicle
2016-03-18 19:56:23,still
2016-03-18 22:02:56,still
2016-03-19 00:00:00,in_vehicle
2016-03-19 00:16:17,walking
2016-03-19 00:17:52,in_vehicle
2016-03-19 00:24:13,still
2016-03-19 01:00:22,still
2016-03-19 19:19:23,in_vehicle
2016-03-19 20:05:45,walking
2016-03-19 20:07:52,still
2016-03-19 20:09:35,in_vehicle
2016-03-19 20:20:45,walking
2016-03-19 20:30:16,in_vehicle
2016-03-19 20:40:29,walking
2016-03-19 20:41:50,still
2016-03-19 21:01:10,still
2016-03-19 23:31:48,still
2016-03-19 23:34:17,still
2016-03-19 23:46:28,still
