date,ActivFit
2016-04-30 00:00:00,still
2016-04-30 00:46:57,walking
2016-04-30 00:48:20,still
2016-04-30 02:41:19,still
2016-04-30 03:41:01,still
2016-04-30 11:04:10,walking
2016-04-30 11:05:26,still
2016-04-30 11:07:05,walking
2016-04-30 11:08:06,in_vehicle
2016-04-30 11:32:48,walking
2016-04-30 11:41:29,in_vehicle
2016-04-30 12:24:33,walking
2016-04-30 12:35:45,still
2016-04-30 12:43:28,walking
2016-04-30 12:47:28,walking
2016-04-30 12:50:02,walking
2016-04-30 13:04:20,still
2016-04-30 13:05:28,walking
2016-04-30 13:07:28,still
2016-04-30 13:08:30,walking
2016-04-30 13:32:49,still
2016-04-30 13:42:48,walking
2016-04-30 14:02:40,still
2016-04-30 14:22:14,walking
2016-04-30 14:26:32,in_vehicle
2016-04-30 14:54:28,walking
2016-04-30 14:56:26,walking
2016-04-30 14:57:52,in_vehicle
2016-04-30 15:20:16,still
2016-04-30 17:20:20,still
2016-04-30 17:21:42,in_vehicle
2016-04-30 17:36:48,walking
2016-04-30 18:25:42,walking
2016-04-30 18:29:32,walking
2016-04-30 18:33:50,in_vehicle
2016-04-30 18:49:47,walking
2016-04-30 18:50:53,still
2016-04-30 18:55:36,still
2016-04-30 20:59:09,still
2016-05-01 00:00:00,still
2016-05-01 00:51:22,still
2016-05-01 05:58:03,still
2016-05-01 10:51:25,walking
2016-05-01 10:52:52,still
2016-05-01 11:19:51,walking
2016-05-01 11:23:16,in_vehicle
2016-05-01 11:44:40,walking
2016-05-01 11:54:59,still
2016-05-01 11:58:06,walking
2016-05-01 12:01:46,still
2016-05-01 12:16:24,walking
2016-05-01 12:30:00,in_vehicle
2016-05-01 13:05:07,walking
2016-05-01 13:11:36,walking
2016-05-01 13:18:05,still
2016-05-01 13:35:50,walking
2016-05-01 13:45:39,walking
2016-05-01 13:46:55,still
2016-05-01 13:55:43,still
2016-05-01 13:58:49,walking
2016-05-01 14:04:50,walking
2016-05-01 14:06:24,walking
2016-05-01 14:12:06,walking
2016-05-01 14:18:19,walking
2016-05-01 14:31:18,in_vehicle
2016-05-01 15:02:19,walking
2016-05-01 15:07:47,walking
2016-05-01 15:09:48,still
2016-05-01 22:45:37,still
2016-05-01 23:12:05,walking
2016-05-01 23:14:11,still
2016-05-01 23:21:16,still
2016-05-03 00:05:53,still
2016-05-03 00:28:53,still
2016-05-03 00:46:31,in_vehicle
2016-05-03 01:07:44,still
2016-05-03 02:48:26,still
2016-05-03 09:38:43,still
2016-05-03 09:43:43,in_vehicle
2016-05-03 09:57:25,walking
2016-05-03 10:01:09,still
2016-05-03 10:40:22,in_vehicle
2016-05-03 10:44:45,walking
2016-05-03 10:45:53,in_vehicle
2016-05-03 10:49:07,walking
2016-05-03 10:52:10,in_vehicle
2016-05-03 11:00:42,still
2016-05-03 11:28:57,walking
2016-05-03 11:30:37,still
2016-05-03 11:47:43,in_vehicle
2016-05-03 13:17:48,still
