date,ActivFit
2016-03-11 12:04:44,walking
2016-03-11 12:26:00,walking
2016-03-11 13:08:35,walking
2016-03-11 13:12:26,walking
2016-03-11 13:18:31,walking
2016-03-11 13:28:43,walking
2016-03-11 13:34:39,walking
2016-03-11 13:35:42,walking
2016-03-11 13:42:59,walking
2016-03-11 13:52:13,walking
2016-03-11 13:55:00,walking
2016-03-11 15:17:59,walking
2016-03-11 15:41:59,walking
2016-03-11 15:45:04,walking
2016-03-11 15:47:59,walking
2016-03-11 15:50:00,walking
2016-03-11 16:16:40,walking
2016-03-11 16:17:47,walking
2016-03-11 16:20:01,walking
2016-03-11 21:34:00,walking
2016-03-11 22:04:03,walking
2016-03-11 22:40:03,walking
