date,ActivFit
2016-04-13 21:32:26,in_vehicle
2016-04-13 22:26:18,walking
2016-04-13 22:29:04,walking
2016-04-13 22:30:29,in_vehicle
2016-04-14 00:00:00,still
2016-04-14 06:44:21,walking
2016-04-14 06:46:11,still
2016-04-14 07:02:07,in_vehicle
2016-04-14 07:17:20,walking
2016-04-14 07:18:22,still
2016-04-14 11:49:07,still
2016-04-14 13:38:33,still
2016-04-14 13:54:48,in_vehicle
2016-04-14 14:41:59,walking
2016-04-14 14:44:44,still
2016-04-14 16:13:32,in_vehicle
2016-04-14 16:46:20,walking
2016-04-14 16:49:55,still
2016-04-14 17:41:08,in_vehicle
2016-04-14 17:48:05,walking
2016-04-14 17:49:10,in_vehicle
2016-04-14 18:00:25,walking
2016-04-14 18:38:57,still
2016-04-14 18:54:46,still
2016-04-14 19:18:47,walking
2016-04-14 19:20:24,still
2016-04-14 19:48:09,in_vehicle
2016-04-14 20:39:01,still
2016-04-14 21:17:35,in_vehicle
2016-04-14 21:31:44,still
2016-04-14 21:52:51,still
2016-04-14 22:04:05,still
2016-04-14 22:33:12,still
2016-04-15 00:00:00,still
2016-04-15 06:15:30,still
2016-04-15 06:34:57,walking
2016-04-15 06:42:55,in_vehicle
2016-04-15 07:12:25,still
2016-04-15 09:25:46,in_vehicle
2016-04-15 09:31:50,walking
2016-04-15 09:33:37,still
2016-04-15 11:21:13,walking
2016-04-15 11:24:38,in_vehicle
2016-04-15 11:38:27,still
2016-04-15 12:34:40,walking
2016-04-15 12:42:59,walking
2016-04-15 12:44:05,still
2016-04-15 12:46:22,walking
2016-04-15 12:50:21,still
2016-04-15 13:27:59,walking
2016-04-15 13:34:30,still
2016-04-15 13:39:33,walking
2016-04-15 13:41:18,in_vehicle
2016-04-15 14:06:13,still
2016-04-15 17:25:09,walking
2016-04-15 17:26:13,still
2016-04-15 17:33:33,walking
2016-04-15 17:34:50,still
2016-04-15 17:37:32,walking
2016-04-15 17:38:33,still
2016-04-15 17:51:22,still
2016-04-15 18:01:59,walking
2016-04-15 18:03:02,in_vehicle
2016-04-15 18:06:52,walking
2016-04-15 18:07:53,in_vehicle
2016-04-15 18:28:26,still
2016-04-15 18:51:01,walking
2016-04-15 18:52:52,still
2016-04-15 18:56:38,in_vehicle
2016-04-15 19:26:28,still
2016-04-15 19:51:09,walking
2016-04-15 19:54:24,still
2016-04-15 20:07:22,walking
2016-04-15 20:13:28,still
2016-04-15 20:17:24,walking
2016-04-15 20:20:22,in_vehicle
2016-04-15 20:51:21,still
2016-04-15 21:01:52,still
2016-04-15 21:17:42,in_vehicle
2016-04-15 21:57:01,still
2016-04-15 22:17:27,in_vehicle
2016-04-15 22:30:47,still
