date,ActivFit
2016-03-04 00:00:00,still
2016-03-04 04:16:28,in_vehicle
2016-03-04 04:25:12,walking
2016-03-04 04:28:49,walking
2016-03-04 04:31:54,still
2016-03-04 06:53:34,walking
2016-03-04 07:04:29,still
2016-03-04 10:41:35,walking
2016-03-04 10:42:38,still
2016-03-04 11:20:18,walking
2016-03-04 11:27:54,in_vehicle
2016-03-04 11:53:29,walking
2016-03-04 11:57:01,still
2016-03-04 12:00:14,walking
2016-03-04 12:05:11,still
2016-03-04 12:07:12,walking
2016-03-04 12:37:12,in_vehicle
2016-03-04 12:42:45,still
2016-03-04 12:49:54,still
2016-03-04 12:52:46,walking
2016-03-04 12:56:07,still
2016-03-04 13:01:53,still
2016-03-04 13:07:05,walking
2016-03-04 13:13:11,in_vehicle
2016-03-04 13:29:38,walking
2016-03-04 13:31:01,still
2016-03-04 15:35:20,still
2016-03-04 17:17:34,still
2016-03-04 19:42:22,still
2016-03-04 22:37:18,still
2016-03-05 00:00:00,still
2016-03-05 10:59:32,still
2016-03-05 12:15:12,walking
2016-03-05 12:16:13,still
2016-03-05 12:43:22,walking
2016-03-05 12:45:43,in_vehicle
2016-03-05 13:03:53,walking
2016-03-05 13:14:00,walking
2016-03-05 13:18:20,walking
2016-03-05 13:32:47,walking
2016-03-05 13:39:39,walking
2016-03-05 13:44:08,walking
2016-03-05 13:47:42,walking
2016-03-05 13:52:36,walking
2016-03-05 13:57:49,walking
2016-03-05 13:59:57,still
2016-03-05 14:21:50,walking
2016-03-05 14:22:51,still
2016-03-05 14:27:07,in_vehicle
2016-03-05 14:45:55,walking
2016-03-05 15:00:58,still
2016-03-05 15:08:55,walking
2016-03-05 15:12:21,still
2016-03-05 15:16:24,walking
2016-03-05 15:31:26,walking
2016-03-05 15:38:05,still
2016-03-05 15:41:41,walking
2016-03-05 15:44:10,in_vehicle
2016-03-05 16:03:26,still
2016-03-05 16:06:27,walking
2016-03-05 16:07:59,still
2016-03-05 20:02:56,still
2016-03-06 00:00:00,still
2016-03-06 10:45:28,in_vehicle
2016-03-06 10:58:57,walking
2016-03-06 11:07:59,in_vehicle
2016-03-06 11:09:48,walking
2016-03-06 11:23:40,walking
2016-03-06 11:34:29,walking
2016-03-06 11:38:25,in_vehicle
2016-03-06 11:39:46,walking
2016-03-06 11:44:13,still
2016-03-06 12:01:26,walking
2016-03-06 12:03:58,walking
2016-03-06 12:05:33,still
2016-03-06 12:07:45,walking
2016-03-06 12:10:14,in_vehicle
2016-03-06 12:41:10,still
2016-03-06 12:51:40,still
2016-03-06 19:31:39,walking
2016-03-06 19:33:20,still
2016-03-07 00:00:00,still
2016-03-07 03:03:59,in_vehicle
2016-03-07 03:40:22,walking
2016-03-07 03:45:06,still
2016-03-07 05:40:36,walking
2016-03-07 05:44:18,still
2016-03-07 05:46:51,walking
2016-03-07 05:48:01,walking
2016-03-07 05:52:15,still
2016-03-07 06:16:17,walking
2016-03-07 06:19:46,still
2016-03-07 06:51:38,walking
2016-03-07 06:56:24,still
2016-03-07 08:28:22,walking
2016-03-07 08:30:38,still
2016-03-07 08:36:08,still
2016-03-07 09:14:31,walking
2016-03-07 09:21:11,walking
2016-03-07 09:23:35,still
2016-03-07 10:29:27,walking
2016-03-07 10:30:46,still
2016-03-07 10:37:43,walking
2016-03-07 10:38:59,still
2016-03-07 10:50:39,walking
2016-03-07 10:55:45,still
2016-03-07 11:33:08,walking
2016-03-07 11:45:04,still
2016-03-07 11:48:42,in_vehicle
2016-03-07 12:13:04,walking
2016-03-07 12:15:24,still
2016-03-07 12:19:36,walking
2016-03-07 12:23:07,in_vehicle
2016-03-07 12:24:31,walking
2016-03-07 12:44:49,walking
2016-03-07 12:49:17,walking
2016-03-07 12:54:52,walking
2016-03-07 13:07:07,still
2016-03-07 13:16:01,walking
2016-03-07 13:18:07,still
2016-03-07 13:42:08,walking
2016-03-07 13:47:13,in_vehicle
2016-03-07 14:03:50,walking
2016-03-07 14:06:12,still
2016-03-07 16:31:24,still
2016-03-07 17:53:36,still
