date,ActivFit
2016-06-01 00:00:50,walking
2016-06-01 00:06:26,still
2016-06-01 00:12:44,still
2016-06-01 08:41:28,still
2016-06-01 09:10:40,still
2016-06-01 09:15:18,walking
2016-06-01 09:26:21,walking
2016-06-01 09:30:52,walking
2016-06-01 09:32:52,walking
2016-06-01 09:44:46,still
2016-06-01 09:59:57,walking
2016-06-01 10:01:39,still
2016-06-01 10:13:34,in_vehicle
2016-06-01 10:34:24,walking
2016-06-01 10:36:37,in_vehicle
2016-06-01 10:48:17,walking
2016-06-01 10:53:15,walking
2016-06-01 11:00:22,walking
2016-06-01 11:07:16,in_vehicle
2016-06-01 11:23:05,walking
2016-06-01 11:28:03,still
2016-06-01 11:34:44,still
2016-06-01 11:46:15,walking
2016-06-01 11:48:46,in_vehicle
2016-06-01 12:05:39,walking
2016-06-01 12:08:37,still
2016-06-01 12:17:37,still
2016-06-01 12:22:46,still
2016-06-01 12:36:56,walking
2016-06-01 12:38:56,still
2016-06-01 12:42:42,walking
2016-06-01 12:44:50,still
2016-06-01 13:04:16,walking
2016-06-01 13:08:36,walking
2016-06-01 13:14:52,in_vehicle
2016-06-01 13:28:26,walking
2016-06-01 13:30:33,in_vehicle
2016-06-01 13:52:01,walking
2016-06-01 13:53:55,in_vehicle
2016-06-01 14:02:19,walking
2016-06-01 14:04:08,in_vehicle
2016-06-01 14:11:48,still
2016-06-01 14:40:52,in_vehicle
2016-06-01 14:48:05,still
2016-06-01 15:26:49,in_vehicle
2016-06-01 15:54:01,still
2016-06-01 16:02:49,walking
2016-06-01 16:07:28,still
2016-06-01 16:09:17,walking
2016-06-01 16:15:45,walking
2016-06-01 16:17:01,walking
2016-06-01 16:25:01,walking
2016-06-01 16:28:39,walking
2016-06-01 16:33:14,still
2016-06-01 16:35:58,still
2016-06-01 17:25:31,walking
2016-06-01 17:28:25,walking
2016-06-01 17:39:14,walking
2016-06-01 17:41:07,walking
2016-06-01 17:42:42,in_vehicle
2016-06-01 17:58:44,walking
2016-06-01 18:02:18,still
2016-06-01 18:09:57,still
2016-06-01 18:11:15,walking
2016-06-01 18:19:57,still
2016-06-01 18:34:33,in_vehicle
2016-06-01 18:47:09,walking
2016-06-01 18:49:12,in_vehicle
2016-06-01 18:54:12,still
2016-06-01 18:55:36,in_vehicle
2016-06-01 19:05:03,walking
2016-06-01 19:09:40,still
2016-06-02 01:08:01,still
2016-06-02 08:31:31,walking
2016-06-02 08:36:27,still
2016-06-02 08:46:26,still
2016-06-02 09:20:36,walking
2016-06-02 09:28:43,still
2016-06-02 09:35:53,walking
2016-06-02 09:37:19,still
2016-06-02 09:40:13,walking
2016-06-02 09:47:38,walking
2016-06-02 09:56:15,still
2016-06-02 10:01:10,still
2016-06-02 10:22:50,walking
2016-06-02 10:24:58,running
2016-06-02 10:26:39,walking
2016-06-02 10:34:05,still
2016-06-02 10:35:53,running
2016-06-02 10:44:58,walking
2016-06-02 10:46:20,walking
2016-06-02 10:48:05,in_vehicle
2016-06-02 11:24:24,walking
2016-06-02 11:28:10,walking
2016-06-02 11:37:16,walking
2016-06-02 11:39:41,still
2016-06-02 11:50:54,in_vehicle
2016-06-02 12:52:53,still
2016-06-02 13:01:23,in_vehicle
2016-06-02 13:23:13,walking
2016-06-02 13:24:21,in_vehicle
2016-06-02 13:53:12,still
2016-06-02 13:56:03,walking
2016-06-02 13:57:43,still
2016-06-02 14:01:53,in_vehicle
2016-06-02 16:12:33,walking
2016-06-02 16:15:23,running
2016-06-02 16:17:42,still
2016-06-02 16:19:31,running
2016-06-02 16:22:07,walking
2016-06-02 16:24:14,still
2016-06-02 16:55:00,walking
2016-06-02 17:00:15,walking
2016-06-02 17:03:00,still
2016-06-02 17:05:08,in_vehicle
2016-06-02 18:47:21,walking
2016-06-02 18:48:57,still
2016-06-02 18:50:53,in_vehicle
2016-06-02 19:04:29,in_vehicle
2016-06-02 19:50:29,still
2016-06-02 19:59:58,in_vehicle
2016-06-02 21:09:40,walking
2016-06-02 21:12:13,walking
2016-06-02 21:13:16,walking
2016-06-02 21:14:19,still
2016-06-02 21:19:09,running
2016-06-02 21:21:04,walking
2016-06-02 21:28:12,still
2016-06-02 21:35:55,in_vehicle
2016-06-02 22:11:30,walking
2016-06-02 22:13:29,still
2016-06-02 22:14:42,walking
2016-06-02 22:15:48,walking
2016-06-02 22:29:27,walking
2016-06-02 22:32:27,still
2016-06-02 22:36:21,still
2016-06-08 08:53:20,walking
2016-06-08 09:19:36,walking
2016-06-08 09:24:47,walking
2016-06-08 09:35:44,walking
2016-06-08 09:39:31,walking
2016-06-08 10:21:18,walking
2016-06-08 10:24:25,walking
2016-06-08 10:29:32,walking
2016-06-08 11:14:03,walking
2016-06-08 11:22:26,walking
2016-06-08 11:32:17,walking
2016-06-08 16:29:03,walking
2016-06-08 20:38:13,walking
2016-06-08 20:47:06,walking
2016-06-08 20:54:32,walking
2016-06-08 20:56:54,walking
2016-06-08 20:58:43,walking
2016-06-08 21:17:19,walking
2016-06-08 22:09:35,walking
2016-06-13 09:28:27,walking
2016-06-13 10:01:58,walking
2016-06-13 10:14:55,walking
2016-06-13 10:17:20,walking
2016-06-13 10:29:25,walking
2016-06-13 10:41:44,walking
2016-06-13 11:03:53,walking
2016-06-13 11:07:56,walking
2016-06-13 11:15:06,walking
2016-06-13 11:57:49,walking
2016-06-13 12:11:37,walking
2016-06-13 12:14:25,walking
2016-06-13 14:01:03,walking
2016-06-13 14:54:32,walking
2016-06-13 15:37:01,walking
2016-06-13 15:39:25,walking
2016-06-13 17:51:55,walking
2016-06-13 20:29:43,walking
2016-06-13 20:33:28,walking
2016-06-13 20:39:24,walking
