date,ActivFit
2015-12-14 00:00:00,still
2015-12-14 02:33:54,still
2015-12-14 17:41:53,still
2015-12-14 18:29:33,walking
2015-12-14 18:34:36,still
2015-12-14 18:35:48,in_vehicle
2015-12-14 18:50:53,walking
2015-12-14 18:54:49,walking
2015-12-14 18:56:51,walking
2015-12-14 19:00:23,still
2015-12-14 19:03:31,walking
2015-12-14 19:06:31,in_vehicle
2015-12-14 19:14:45,walking
2015-12-14 19:21:09,still
2015-12-14 19:31:15,walking
2015-12-14 19:33:17,still
2015-12-14 20:02:18,walking
2015-12-14 20:07:35,still
2015-12-14 20:56:23,in_vehicle
2015-12-14 21:04:01,still
2015-12-14 22:23:30,still
2015-12-15 00:00:00,still
2015-12-15 01:00:36,still
2015-12-15 12:05:08,walking
2015-12-15 12:09:10,still
2015-12-15 12:22:26,walking
2015-12-15 12:28:27,still
2015-12-15 14:42:35,walking
2015-12-15 15:01:31,still
2015-12-15 15:04:31,walking
2015-12-15 15:08:40,still
2015-12-15 15:17:07,walking
2015-12-15 15:23:08,still
2015-12-15 17:49:18,still
2015-12-19 00:03:41,walking
2015-12-19 00:34:55,still
2015-12-19 15:39:20,walking
2015-12-19 15:40:30,walking
2015-12-19 15:41:39,still
2015-12-19 15:46:20,walking
2015-12-19 15:53:43,still
2015-12-19 16:15:35,walking
2015-12-19 16:17:35,walking
2015-12-19 16:31:36,still
2015-12-19 16:40:48,walking
2015-12-19 16:42:40,walking
2015-12-19 16:46:14,still
2015-12-19 17:17:37,walking
2015-12-19 17:20:47,still
2015-12-19 17:35:13,walking
2015-12-19 17:37:00,walking
2015-12-19 17:39:45,still
2015-12-19 17:41:47,walking
2015-12-19 17:45:55,still
2015-12-19 17:58:49,walking
2015-12-19 18:02:00,still
2015-12-20 00:00:00,still
2015-12-20 03:04:12,walking
2015-12-20 03:05:14,still
2015-12-20 04:04:38,walking
2015-12-20 04:16:25,still
2015-12-20 04:18:29,walking
2015-12-20 04:34:56,still
2015-12-20 05:50:18,in_vehicle
2015-12-20 06:26:10,still
2015-12-20 14:45:22,still
2015-12-20 15:45:07,still
2015-12-20 16:25:53,still
2015-12-20 17:08:34,walking
2015-12-20 17:15:43,still
2015-12-20 17:21:13,walking
2015-12-20 17:23:45,running
2015-12-20 17:27:27,in_vehicle
2015-12-20 17:51:49,still
2015-12-20 17:56:46,walking
2015-12-20 17:57:48,still
2015-12-20 18:00:54,walking
2015-12-20 18:35:43,walking
2015-12-20 18:37:46,still
2015-12-20 18:39:44,walking
2015-12-20 18:41:27,still
2015-12-20 18:44:33,walking
2015-12-20 18:56:07,still
2015-12-20 19:27:43,still
2015-12-20 19:46:25,still
2015-12-20 20:07:28,still
2015-12-20 20:37:13,walking
2015-12-20 20:39:14,still
2015-12-20 22:00:36,still
2015-12-20 22:13:29,still
2015-12-20 22:16:06,in_vehicle
2015-12-20 22:49:10,walking
2015-12-20 22:53:28,still
2015-12-21 00:00:00,still
2015-12-21 13:22:01,walking
2015-12-21 13:33:23,walking
2015-12-21 13:36:25,still
2015-12-21 14:22:14,walking
2015-12-21 14:30:45,walking
2015-12-21 14:37:19,still
2015-12-21 15:31:37,walking
2015-12-21 15:37:32,still
2015-12-21 15:40:32,walking
2015-12-21 15:47:01,still
2015-12-21 15:50:46,walking
2015-12-21 15:56:09,still
2015-12-21 16:00:51,walking
2015-12-21 16:05:13,still
2015-12-21 16:49:26,walking
2015-12-21 16:55:09,still
2015-12-21 17:03:17,walking
2015-12-21 17:08:58,still
2015-12-21 17:21:14,walking
2015-12-21 17:26:17,walking
2015-12-21 17:28:44,in_vehicle
2015-12-21 17:37:49,walking
2015-12-21 17:48:29,still
2015-12-21 17:54:00,walking
2015-12-21 17:57:36,still
2015-12-21 18:11:08,still
2015-12-21 19:14:56,walking
2015-12-21 19:17:28,still
2015-12-21 19:31:57,walking
2015-12-21 19:34:45,still
2015-12-21 20:46:56,still
2015-12-21 22:16:47,still
2015-12-21 22:25:54,still
2015-12-21 22:45:19,still
2015-12-22 00:00:00,still
2015-12-22 02:23:28,still
2015-12-22 15:30:50,walking
2015-12-22 15:33:22,still
2015-12-22 16:12:05,walking
2015-12-22 16:13:18,still
2015-12-22 16:20:58,still
2015-12-22 21:00:55,walking
2015-12-22 21:03:31,still
2015-12-23 00:00:00,still
2015-12-23 16:10:21,still
2015-12-23 17:11:28,walking
2015-12-23 17:22:30,still
2015-12-23 17:27:02,walking
2015-12-23 17:36:05,still
2015-12-23 18:07:21,still
2015-12-23 18:21:43,still
2015-12-23 18:55:07,still
2015-12-23 19:07:42,still
2015-12-23 19:10:39,still
2015-12-23 19:15:54,walking
2015-12-23 19:18:48,walking
2015-12-23 19:31:52,still
2015-12-23 19:35:01,walking
2015-12-23 19:38:07,still
2015-12-23 19:39:58,in_vehicle
2015-12-23 19:53:54,walking
2015-12-23 19:57:35,walking
2015-12-23 20:01:07,still
2015-12-24 00:00:00,still
2015-12-24 01:04:25,walking
2015-12-24 01:05:43,still
2015-12-25 00:00:00,still
2015-12-25 17:29:56,walking
2015-12-25 17:35:11,still
2015-12-25 17:37:04,in_vehicle
2015-12-25 17:49:59,walking
2015-12-25 18:00:10,still
2015-12-25 22:09:38,walking
2015-12-25 22:10:39,still
2015-12-25 22:32:10,walking
2015-12-25 22:33:58,in_vehicle
2015-12-25 22:49:53,walking
2015-12-25 23:00:53,still
2015-12-27 00:00:00,walking
2015-12-27 00:22:23,still
2015-12-27 07:18:02,walking
2015-12-27 07:22:28,still
