date,ActivFit
2016-04-21 00:00:00,still
2016-04-21 07:23:03,in_vehicle
2016-04-21 08:08:39,still
2016-04-21 08:45:07,still
2016-04-21 09:09:00,still
2016-04-21 09:30:04,walking
2016-04-21 09:36:33,still
2016-04-21 10:06:52,still
2016-04-21 11:08:57,walking
2016-04-21 11:12:19,still
2016-04-21 11:38:50,walking
2016-04-21 11:41:04,still
2016-04-21 12:06:43,walking
2016-04-21 12:28:44,still
2016-04-21 12:34:36,walking
2016-04-21 12:36:48,still
2016-04-21 12:44:28,walking
2016-04-21 12:48:37,in_vehicle
2016-04-21 12:57:36,in_vehicle
2016-04-21 13:09:02,walking
2016-04-21 13:12:05,still
2016-04-21 13:20:07,walking
2016-04-21 13:26:04,still
2016-04-21 13:33:14,walking
2016-04-21 13:35:33,in_vehicle
2016-04-21 14:00:59,still
2016-04-21 15:38:55,walking
2016-04-21 15:43:53,in_vehicle
2016-04-21 16:33:33,still
2016-04-21 16:45:28,in_vehicle
2016-04-21 17:34:31,running.treadmill
2016-04-21 17:37:41,still
2016-04-21 17:49:11,walking
2016-04-21 17:59:35,still
2016-04-21 18:26:03,still
2016-04-23 00:00:00,still
2016-04-23 08:59:14,still
2016-04-23 09:11:59,walking
2016-04-23 09:14:28,in_vehicle
2016-04-23 10:26:44,walking
2016-04-23 10:27:54,walking
2016-04-23 10:40:53,walking
2016-04-23 10:42:09,still
2016-04-23 10:44:53,walking
2016-04-23 10:48:20,in_vehicle
2016-04-23 11:04:44,walking
2016-04-23 11:19:06,still
2016-04-23 11:27:01,walking
2016-04-23 11:28:29,walking
2016-04-23 11:29:36,walking
2016-04-23 11:35:33,still
2016-04-23 11:56:55,walking
2016-04-23 12:05:30,still
2016-04-23 12:48:23,walking
2016-04-23 12:50:08,walking
2016-04-23 12:57:19,still
2016-04-23 13:00:46,walking
2016-04-23 13:14:06,in_vehicle
2016-04-23 14:18:05,walking
2016-04-23 14:20:48,in_vehicle
2016-04-23 16:17:04,still
2016-04-23 17:48:45,still
2016-04-23 18:02:35,in_vehicle
2016-04-23 18:28:19,walking
2016-04-23 18:30:34,still
2016-04-23 18:47:47,in_vehicle
2016-04-23 19:17:57,still
2016-04-23 20:26:41,in_vehicle
2016-04-23 21:13:49,walking
2016-04-23 21:15:45,walking
2016-04-23 21:17:05,still
2016-04-24 00:00:00,walking
2016-04-24 00:01:47,still
2016-04-24 00:18:19,still
2016-04-24 00:53:45,in_vehicle
2016-04-24 01:02:30,walking
2016-04-24 01:05:36,still
2016-04-24 01:08:15,walking
2016-04-24 01:11:57,still
2016-04-24 01:31:22,still
2016-04-24 01:53:42,walking
2016-04-24 01:59:04,still
2016-04-24 02:07:47,walking
2016-04-24 02:10:57,still
2016-04-24 02:41:51,in_vehicle
2016-04-24 03:45:30,walking
2016-04-24 03:47:22,in_vehicle
2016-04-24 04:08:08,still
2016-04-24 11:20:10,in_vehicle
2016-04-24 11:27:57,still
2016-04-24 11:29:50,in_vehicle
2016-04-24 11:37:19,still
2016-04-24 12:03:41,in_vehicle
2016-04-24 15:50:43,walking
2016-04-24 15:52:07,still
2016-04-24 15:53:17,in_vehicle
2016-04-24 18:48:51,still
2016-04-24 19:25:37,in_vehicle
2016-04-24 19:41:00,walking
2016-04-24 20:01:04,still
2016-04-24 20:03:58,in_vehicle
2016-04-24 20:27:09,still
2016-04-25 00:00:00,still
2016-04-25 06:57:55,in_vehicle
2016-04-25 08:00:08,walking
2016-04-25 08:01:34,still
2016-04-25 09:35:55,walking
2016-04-25 09:42:40,still
2016-04-25 09:54:37,walking
2016-04-25 09:57:22,still
2016-04-25 10:14:54,walking
2016-04-25 10:16:56,still
2016-04-25 10:45:18,walking
2016-04-25 10:50:16,walking
2016-04-25 10:59:48,still
2016-04-25 11:43:22,walking
2016-04-25 11:44:25,walking
2016-04-25 11:52:46,in_vehicle
2016-04-25 12:20:22,walking
2016-04-25 12:24:47,walking
2016-04-25 12:26:41,still
2016-04-25 12:31:39,walking
2016-04-25 12:32:54,still
2016-04-25 13:45:28,in_vehicle
2016-04-25 13:47:30,walking
2016-04-25 13:48:31,walking
2016-04-25 13:50:47,in_vehicle
2016-04-25 14:33:21,still
2016-04-25 14:35:06,in_vehicle
2016-04-25 15:13:37,still
2016-04-25 18:14:21,walking
2016-04-25 18:16:22,still
2016-04-25 18:38:13,in_vehicle
2016-04-25 19:03:36,still
2016-04-25 19:09:50,walking
2016-04-25 19:13:50,still
2016-04-25 19:30:22,in_vehicle
2016-04-25 20:08:32,walking
2016-04-25 20:11:07,still
2016-04-25 20:26:54,still
2016-04-25 22:47:56,still
2016-05-05 00:00:00,still
2016-05-05 01:24:04,in_vehicle
2016-05-05 02:47:33,still
2016-05-05 10:48:39,walking
2016-05-05 10:49:51,still
2016-05-05 10:59:51,walking
2016-05-05 11:01:21,in_vehicle
2016-05-05 11:56:44,walking
2016-05-05 11:58:04,walking
2016-05-05 12:05:19,in_vehicle
2016-05-05 12:24:21,in_vehicle
2016-05-05 13:44:09,walking
2016-05-05 14:10:08,walking
2016-05-05 14:17:09,in_vehicle
2016-05-05 14:39:55,still
2016-05-05 17:03:13,walking
2016-05-05 17:08:01,in_vehicle
2016-05-05 17:26:32,still
2016-05-05 17:44:45,in_vehicle
2016-05-05 17:59:26,still
2016-05-05 19:01:17,walking
2016-05-05 19:12:04,still
2016-05-05 19:22:05,still
2016-05-05 21:17:30,walking
