date,ActivFit
2016-04-19 00:00:00,still
2016-04-19 08:24:08,still
2016-04-19 08:26:39,in_vehicle
2016-04-19 08:45:21,still
2016-04-19 09:56:48,walking
2016-04-19 09:57:48,still
2016-04-19 10:05:56,in_vehicle
2016-04-19 11:32:49,walking
2016-04-19 11:34:26,still
2016-04-19 15:11:33,walking
2016-04-19 15:13:29,in_vehicle
2016-04-19 16:26:34,still
2016-04-19 16:40:09,still
2016-04-19 17:48:22,in_vehicle
2016-04-19 18:27:44,still
2016-04-19 18:47:28,still
2016-04-19 19:09:07,in_vehicle
2016-04-19 19:35:12,still
2016-04-20 00:00:00,in_vehicle
2016-04-20 00:12:48,walking
2016-04-20 00:19:09,walking
2016-04-20 00:27:26,still
2016-04-20 00:44:38,walking
2016-04-20 00:45:54,still
2016-04-20 01:39:03,still
2016-04-20 02:15:54,still
2016-04-20 02:40:13,walking
2016-04-20 02:42:53,still
2016-04-20 03:07:33,walking
2016-04-20 03:10:56,still
2016-04-20 03:40:43,walking
2016-04-20 03:42:09,still
2016-04-20 03:49:53,walking
2016-04-20 03:53:00,still
2016-04-20 04:08:09,walking
2016-04-20 04:14:49,in_vehicle
2016-04-20 05:14:53,walking
2016-04-20 05:16:28,still
2016-04-20 10:44:25,walking
2016-04-20 10:46:03,still
2016-04-20 21:59:39,still
2016-04-20 22:08:33,still
2016-04-21 00:00:00,still
2016-04-21 03:32:53,in_vehicle
2016-04-21 03:54:22,still
2016-04-21 04:06:11,in_vehicle
2016-04-21 04:32:51,walking
2016-04-21 04:34:06,still
2016-04-21 11:06:19,still
2016-04-23 00:00:00,still
2016-04-23 13:27:52,still
2016-04-23 21:21:58,in_vehicle
2016-04-23 21:59:25,still
2016-04-23 22:05:20,still
