date,ActivFit
2017-02-09 00:00:00,still
2017-02-09 08:19:52,meditation
2017-02-09 08:36:27,still
2017-02-09 10:22:17,walking
2017-02-09 10:23:53,walking
2017-02-09 10:35:23,in_vehicle
2017-02-09 10:42:19,walking
2017-02-09 10:55:05,walking
2017-02-09 10:56:10,walking
2017-02-09 10:57:29,still
2017-02-09 14:43:22,still
2017-02-09 15:29:47,walking
2017-02-09 15:32:02,still
2017-02-09 19:20:00,weightlifting
2017-02-09 19:55:00,still
2017-02-09 21:14:20,walking
2017-02-09 21:17:51,still
2017-02-09 21:24:37,walking
2017-02-09 21:25:51,walking
2017-02-09 21:27:07,walking
2017-02-09 21:37:30,still
2017-02-09 21:51:09,walking
2017-02-09 21:52:12,walking
2017-02-09 22:08:00,walking
2017-02-09 22:10:59,in_vehicle
2017-02-09 22:19:26,walking
2017-02-09 22:26:57,walking
2017-02-10 00:00:00,still
2017-02-10 08:19:11,meditation
2017-02-10 08:35:46,still
2017-02-10 09:09:28,walking
2017-02-10 09:22:26,in_vehicle
2017-02-10 09:38:00,walking
2017-02-10 09:39:38,walking
2017-02-10 09:44:56,walking
2017-02-10 09:50:58,walking
2017-02-10 09:52:00,walking
2017-02-10 09:54:17,walking
2017-02-10 09:55:22,walking
2017-02-10 09:57:31,walking
2017-02-10 10:00:08,still
2017-02-10 10:36:09,walking
2017-02-10 10:40:00,walking
2017-02-10 10:49:28,still
2017-02-10 10:54:47,walking
2017-02-10 10:58:32,still
2017-02-10 14:43:04,still
2017-02-10 18:35:05,walking
2017-02-10 18:37:44,still
2017-02-10 19:00:00,weightlifting
2017-02-10 19:25:00,still
2017-02-10 20:10:22,walking
2017-02-10 20:13:00,still
2017-02-10 20:22:16,walking
2017-02-10 20:23:58,walking
2017-02-10 20:25:00,walking
2017-02-10 20:41:47,still
2017-02-10 20:46:51,walking
2017-02-10 20:54:28,walking
2017-02-10 20:56:29,still
2017-02-10 21:03:54,walking
2017-02-10 21:07:59,walking
2017-02-10 21:23:44,still
2017-02-11 00:00:00,still
2017-02-11 10:20:46,meditation
2017-02-11 10:37:21,still
2017-02-11 10:39:54,still
2017-02-11 16:06:36,walking
2017-02-11 16:09:39,walking
2017-02-11 16:46:46,walking
2017-02-11 17:32:52,walking
2017-02-11 17:34:01,still
2017-02-11 17:39:36,walking
2017-02-11 17:45:04,still
2017-02-11 21:54:00,still
2017-02-11 22:50:59,walking
2017-02-11 22:52:16,walking
2017-02-11 23:04:41,still
2017-02-11 23:06:48,walking
2017-02-11 23:14:12,walking
2017-02-11 23:15:35,in_vehicle
2017-02-11 23:26:04,walking
2017-02-11 23:33:22,walking
2017-02-11 23:38:36,still
