date,ActivFit
2016-01-22 00:00:00,still
2016-01-22 07:49:46,walking
2016-01-22 07:51:00,in_vehicle
2016-01-22 08:04:09,walking
2016-01-22 08:07:48,in_vehicle
2016-01-22 09:08:33,walking
2016-01-22 09:12:34,still
2016-01-22 13:32:49,still
2016-01-22 16:33:19,walking
2016-01-22 16:41:07,in_vehicle
2016-01-22 18:36:48,still
2016-01-22 19:59:47,still
2016-01-22 20:55:50,still
2016-01-23 00:00:00,still
2016-01-23 08:56:00,in_vehicle
2016-01-23 09:09:15,walking
2016-01-23 09:14:47,still
2016-01-23 09:24:01,in_vehicle
2016-01-23 09:45:06,still
2016-01-23 11:06:36,walking
2016-01-23 11:08:38,still
2016-01-23 11:16:54,walking
2016-01-23 11:24:04,walking
2016-01-23 11:26:32,still
2016-01-23 11:30:50,walking
2016-01-23 11:32:23,still
2016-01-23 11:36:33,walking
2016-01-23 11:39:19,in_vehicle
2016-01-23 11:47:33,walking
2016-01-23 11:49:05,in_vehicle
2016-01-23 12:02:13,still
2016-01-23 13:20:23,in_vehicle
2016-01-23 13:34:57,still
2016-01-23 14:13:54,walking
2016-01-23 14:15:29,still
2016-01-23 15:15:53,in_vehicle
2016-01-23 15:19:12,still
2016-01-23 16:08:20,still
2016-01-23 16:09:26,in_vehicle
2016-01-23 17:12:03,walking
2016-01-23 17:36:47,still
2016-01-23 18:05:28,still
2016-01-23 18:37:26,still
2016-01-23 19:23:37,walking
2016-01-23 19:31:59,in_vehicle
2016-01-23 20:44:13,still
2016-01-23 23:15:11,still
2016-01-24 00:00:00,still
2016-01-24 08:50:09,in_vehicle
2016-01-24 09:02:46,still
2016-01-24 09:50:19,in_vehicle
2016-01-24 10:37:45,walking
2016-01-24 10:39:29,still
2016-01-24 12:09:00,walking
2016-01-24 12:11:21,still
2016-01-24 14:11:07,still
2016-01-24 14:12:38,in_vehicle
2016-01-24 14:45:51,walking
2016-01-24 14:55:38,still
2016-01-24 15:15:01,still
2016-01-24 15:16:43,walking
2016-01-24 15:19:12,walking
2016-01-24 15:30:39,walking
2016-01-24 15:31:54,in_vehicle
2016-01-24 15:52:55,walking
2016-01-24 15:58:32,in_vehicle
2016-01-24 16:27:06,walking
2016-01-24 16:31:10,still
2016-01-24 16:58:25,still
2016-01-24 17:10:14,still
2016-01-24 19:51:59,still
2016-01-24 20:16:19,still
2016-01-24 21:09:04,still
2016-01-26 00:00:00,still
2016-01-26 05:58:14,in_vehicle
2016-01-26 06:25:42,walking
2016-01-26 06:32:59,still
2016-01-26 06:46:54,in_vehicle
2016-01-26 08:11:07,in_vehicle
2016-01-26 08:20:39,walking
2016-01-26 08:27:27,in_vehicle
2016-01-26 09:11:22,walking
2016-01-26 09:18:09,still
2016-01-26 09:27:12,walking
2016-01-26 09:35:57,in_vehicle
2016-01-26 10:09:20,still
2016-01-26 10:52:01,walking
2016-01-26 10:57:02,still
2016-01-26 11:57:37,still
2016-01-26 12:08:32,still
2016-01-26 12:12:46,in_vehicle
2016-01-26 12:37:20,walking
2016-01-26 12:39:10,walking
2016-01-26 12:40:13,still
2016-01-26 12:54:06,walking
2016-01-26 12:56:23,still
2016-01-26 13:12:18,walking
2016-01-26 13:25:22,walking
2016-01-26 13:34:40,still
2016-01-26 13:53:47,still
2016-01-26 14:11:54,walking
2016-01-26 14:16:02,still
2016-01-26 14:41:35,still
2016-01-26 14:55:17,walking
2016-01-26 14:59:02,in_vehicle
2016-01-26 15:22:36,walking
2016-01-26 15:32:15,in_vehicle
2016-01-26 15:37:35,walking
2016-01-26 15:39:59,in_vehicle
2016-01-26 15:47:20,walking
2016-01-26 15:49:02,in_vehicle
2016-01-26 15:51:48,still
2016-01-26 16:12:50,in_vehicle
2016-01-26 17:52:29,walking
2016-01-26 17:59:25,still
2016-01-26 18:00:36,in_vehicle
2016-01-26 18:16:25,still
2016-01-26 19:40:58,still
2016-01-27 00:00:00,still
2016-01-27 07:24:53,walking
2016-01-27 07:29:59,still
2016-01-27 07:37:07,in_vehicle
2016-01-27 08:13:37,still
2016-01-27 13:36:17,still
2016-01-28 00:00:00,still
2016-01-28 07:29:30,walking
2016-01-28 07:31:45,still
2016-01-28 09:24:23,walking
2016-01-28 09:26:41,still
2016-01-28 10:09:13,in_vehicle
2016-01-28 10:18:26,walking
2016-01-28 10:28:39,still
2016-01-28 11:02:27,walking
2016-01-28 11:09:30,still
2016-01-28 11:34:59,still
2016-01-28 17:27:08,still
2016-01-28 18:18:50,in_vehicle
2016-01-28 18:39:51,still
2016-01-28 18:44:58,still
2016-01-29 00:00:00,still
2016-01-29 07:06:13,still
2016-01-29 07:40:30,still
2016-01-29 07:52:11,in_vehicle
2016-01-29 08:24:00,walking
2016-01-29 08:27:15,still
2016-01-29 08:31:31,in_vehicle
2016-01-29 09:24:27,walking
2016-01-29 09:26:36,still
2016-01-29 09:57:40,in_vehicle
2016-01-29 09:59:48,still
2016-01-29 10:50:39,still
2016-01-29 11:21:47,still
