date,ActivFit
2016-01-05 00:00:00,still
2016-01-05 08:05:23,in_vehicle
2016-01-05 08:10:59,still
2016-01-05 08:12:28,walking
2016-01-05 08:17:29,still
2016-01-05 09:13:36,still
2016-01-05 09:27:57,still
2016-01-05 11:08:32,still
2016-01-05 12:03:25,walking
2016-01-05 12:07:48,still
2016-01-05 12:24:06,walking
2016-01-05 12:27:28,still
2016-01-05 14:05:09,walking
2016-01-05 14:09:06,walking
2016-01-05 14:14:52,still
2016-01-05 14:24:09,still
2016-01-05 16:04:16,in_vehicle
2016-01-05 16:28:31,still
2016-01-05 17:02:46,walking
2016-01-05 17:16:18,walking
2016-01-05 17:24:20,still
2016-01-05 17:35:01,still
2016-01-05 18:37:22,still
2016-01-05 18:48:40,walking
2016-01-05 18:50:47,still
2016-01-05 18:52:43,walking
2016-01-05 18:55:30,still
2016-01-05 19:33:03,walking
2016-01-05 19:35:34,still
2016-01-05 21:53:13,still
2016-01-05 22:02:46,still
