date,ActivFit
2016-06-15 00:00:00,still
2016-06-15 07:01:30,walking
2016-06-15 07:02:37,walking
2016-06-15 07:04:13,in_vehicle
2016-06-15 08:21:24,walking
2016-06-15 08:25:07,still
2016-06-15 09:15:30,walking
2016-06-15 09:18:32,still
2016-06-15 09:37:14,walking
2016-06-15 09:39:11,still
2016-06-15 09:40:12,walking
2016-06-15 09:41:45,still
2016-06-15 10:29:09,walking
2016-06-15 10:37:38,still
2016-06-15 11:03:14,walking
2016-06-15 11:11:06,still
2016-06-15 11:26:08,walking
2016-06-15 11:28:11,still
2016-06-15 12:45:14,walking
2016-06-15 12:47:00,still
2016-06-15 12:56:02,walking
2016-06-15 12:59:58,still
2016-06-15 15:04:02,walking
2016-06-15 15:07:17,in_vehicle
2016-06-15 16:04:46,still
2016-06-15 16:06:04,walking
2016-06-15 16:10:46,still
2016-06-15 16:46:28,walking
2016-06-15 16:49:25,walking
2016-06-15 16:54:15,walking
2016-06-15 16:58:47,walking
2016-06-15 17:00:03,walking
2016-06-15 17:01:45,walking
2016-06-15 17:05:25,walking
2016-06-15 17:07:29,still
2016-06-15 17:21:31,walking
2016-06-15 17:24:16,still
2016-06-15 17:50:50,in_vehicle
2016-06-15 18:05:25,still
2016-06-15 18:11:19,in_vehicle
2016-06-15 18:28:33,walking
2016-06-15 18:31:03,still
2016-06-15 20:26:08,still
2016-06-17 00:00:00,still
2016-06-17 06:55:32,walking
2016-06-17 06:56:59,still
2016-06-17 06:58:44,in_vehicle
2016-06-17 08:06:16,still
2016-06-17 08:12:30,walking
2016-06-17 08:17:13,still
2016-06-17 08:55:37,walking
2016-06-17 08:58:37,still
2016-06-17 09:11:46,walking
2016-06-17 09:13:50,still
2016-06-17 09:34:18,walking
2016-06-17 09:35:26,still
2016-06-17 09:43:28,still
2016-06-17 09:52:32,walking
2016-06-17 09:53:36,still
2016-06-17 10:49:59,still
2016-06-17 11:19:27,walking
2016-06-17 11:22:06,still
2016-06-17 11:47:21,walking
2016-06-17 11:49:12,still
2016-06-17 12:41:00,walking
2016-06-17 12:47:28,walking
2016-06-17 12:50:37,still
2016-06-17 13:02:58,walking
2016-06-17 13:05:42,still
2016-06-17 13:20:03,walking
2016-06-17 13:21:26,still
2016-06-17 14:10:34,walking
2016-06-17 14:13:01,still
2016-06-17 14:38:55,walking
2016-06-17 14:41:41,still
2016-06-17 15:08:44,walking
2016-06-17 15:12:35,in_vehicle
2016-06-17 16:26:32,still
2016-06-17 16:28:02,walking
2016-06-17 16:30:35,still
2016-06-17 16:48:08,walking
2016-06-17 16:52:31,running
2016-06-17 16:53:32,walking
2016-06-17 16:56:38,still
2016-06-17 17:20:02,walking
2016-06-17 17:27:00,still
2016-06-17 17:35:07,walking
2016-06-17 17:42:49,still
2016-06-18 00:00:00,still
2016-06-18 09:21:14,still
2016-06-18 10:19:05,still
2016-06-18 10:38:36,still
2016-06-18 11:24:02,walking
2016-06-18 11:26:08,still
2016-06-18 11:34:16,walking
2016-06-18 11:45:32,still
2016-06-18 11:50:35,walking
2016-06-18 11:54:08,still
2016-06-18 11:57:48,still
2016-06-18 11:59:52,walking
2016-06-18 12:02:00,still
2016-06-18 12:15:02,walking
2016-06-18 12:17:09,running
2016-06-18 12:26:31,still
2016-06-18 12:41:52,still
2016-06-18 16:03:17,walking
2016-06-18 16:26:44,still
2016-06-18 16:27:46,walking
2016-06-18 16:55:02,still
2016-06-18 17:04:00,walking
2016-06-18 17:32:55,still
2016-06-19 00:00:00,still
2016-06-19 16:01:16,biking
2016-06-19 17:01:53,walking
2016-06-19 17:06:37,still
2016-06-19 17:21:16,still
2016-06-19 19:30:23,still
2016-06-19 22:35:13,still
2016-06-20 00:00:00,still
2016-06-20 07:12:22,in_vehicle
2016-06-20 07:38:19,still
2016-06-20 07:42:48,in_vehicle
2016-06-20 08:38:32,still
2016-06-20 08:40:02,walking
2016-06-20 08:45:10,walking
2016-06-20 08:46:10,still
2016-06-20 08:58:05,still
2016-06-20 09:32:13,walking
2016-06-20 09:35:16,still
2016-06-20 09:44:14,walking
2016-06-20 09:45:18,walking
2016-06-20 09:48:41,still
2016-06-20 10:57:34,walking
2016-06-20 11:04:25,still
2016-06-20 11:17:34,still
2016-06-20 11:39:00,walking
2016-06-20 11:40:30,still
2016-06-20 12:48:34,walking
2016-06-20 12:50:56,still
2016-06-20 12:59:02,walking
2016-06-20 13:01:32,still
2016-06-20 13:18:41,walking
2016-06-20 13:20:51,still
2016-06-20 13:24:47,walking
2016-06-20 13:27:23,still
2016-06-20 14:07:05,walking
2016-06-20 14:09:06,still
2016-06-20 14:17:12,walking
2016-06-20 14:18:29,still
2016-06-20 14:21:01,in_vehicle
2016-06-20 14:28:09,still
2016-06-20 14:29:41,walking
2016-06-20 14:31:13,still
2016-06-20 15:12:11,walking
2016-06-20 15:16:35,still
2016-06-20 15:19:07,in_vehicle
2016-06-20 16:22:51,still
2016-06-20 16:23:59,walking
2016-06-20 16:30:03,still
2016-06-20 18:39:13,still
2016-06-20 18:49:31,still
2016-06-20 21:50:51,still
2016-06-22 00:00:00,still
2016-06-22 06:54:46,walking
2016-06-22 06:56:09,walking
2016-06-22 06:59:03,in_vehicle
2016-06-22 08:21:40,still
2016-06-22 08:23:20,walking
2016-06-22 08:27:58,still
2016-06-22 09:02:18,walking
2016-06-22 09:05:47,still
2016-06-22 09:13:40,still
2016-06-22 09:25:14,walking
2016-06-22 09:30:10,still
2016-06-22 09:45:14,walking
2016-06-22 09:50:44,still
2016-06-22 10:00:05,walking
2016-06-22 10:02:47,still
2016-06-22 10:59:12,walking
2016-06-22 11:05:37,walking
2016-06-22 11:09:22,in_vehicle
2016-06-22 12:30:55,still
2016-06-22 12:38:08,still
2016-06-22 14:10:48,walking
2016-06-22 14:27:47,running
