date,ActivFit
2016-01-18 00:00:00,still
2016-01-18 06:29:18,walking
2016-01-18 06:30:49,in_vehicle
2016-01-18 07:11:30,walking
2016-01-18 07:22:38,still
2016-01-18 09:26:02,walking
2016-01-18 09:32:02,in_vehicle
2016-01-18 11:22:10,still
2016-01-18 12:11:33,walking
2016-01-18 12:13:24,walking
2016-01-18 12:16:58,still
2016-01-18 12:44:53,walking
2016-01-18 12:48:59,still
2016-01-18 13:25:17,in_vehicle
2016-01-18 13:44:42,still
2016-01-18 14:09:58,in_vehicle
2016-01-18 14:20:03,walking
2016-01-18 14:22:54,walking
2016-01-18 14:23:55,still
2016-01-18 14:26:00,walking
2016-01-18 14:27:10,still
2016-01-18 14:39:37,walking
2016-01-18 14:51:38,in_vehicle
2016-01-18 15:20:42,still
2016-01-18 19:56:10,walking
2016-01-18 20:00:36,still
2016-01-18 20:02:01,in_vehicle
2016-01-18 20:30:24,still
2016-01-18 21:28:36,walking
2016-01-18 21:29:36,still
2016-01-18 22:53:18,walking
2016-01-18 22:54:49,walking
2016-01-19 00:01:00,still
2016-01-19 11:03:32,in_vehicle
2016-01-19 11:25:09,still
2016-01-19 13:57:33,walking
2016-01-19 13:58:43,still
2016-01-19 16:05:36,walking
2016-01-19 16:08:37,still
2016-01-19 16:21:39,in_vehicle
2016-01-19 16:52:43,walking
2016-01-19 16:53:46,in_vehicle
2016-01-19 17:12:11,still
2016-01-19 17:36:17,in_vehicle
2016-01-19 17:52:50,still
2016-01-19 17:55:23,walking
2016-01-19 17:56:33,still
2016-01-19 18:56:45,still
2016-01-19 19:17:47,walking
2016-01-19 19:22:56,still
2016-01-19 19:30:47,walking
2016-01-19 19:34:18,still
2016-01-19 19:53:25,walking
2016-01-19 19:57:25,still
2016-01-19 20:03:33,still
2016-01-19 20:37:54,walking
2016-01-19 20:38:59,still
2016-01-19 21:45:38,in_vehicle
2016-01-19 21:53:41,still
2016-01-20 00:00:00,still
2016-01-20 06:47:39,walking
2016-01-20 07:09:27,in_vehicle
2016-01-20 07:26:21,still
2016-01-20 07:47:13,walking
2016-01-20 07:52:16,still
2016-01-20 07:53:50,walking
2016-01-20 07:58:26,still
2016-01-20 08:11:03,walking
2016-01-20 08:12:20,still
2016-01-20 08:18:26,walking
2016-01-20 08:23:31,in_vehicle
2016-01-20 09:34:25,walking
2016-01-20 09:40:53,walking
2016-01-20 09:43:39,still
2016-01-20 09:49:15,in_vehicle
2016-01-20 09:52:06,walking
2016-01-20 09:55:48,walking
2016-01-20 09:57:00,in_vehicle
2016-01-20 09:59:00,still
2016-01-20 11:03:27,still
2016-01-20 11:39:35,walking
2016-01-20 11:40:57,still
2016-01-20 11:43:15,walking
2016-01-20 11:51:31,still
2016-01-20 12:21:19,walking
2016-01-20 12:27:41,still
2016-01-20 12:44:50,walking
2016-01-20 12:45:50,still
2016-01-20 14:45:51,walking
2016-01-20 14:59:30,in_vehicle
2016-01-20 15:28:27,walking
2016-01-20 15:30:15,still
2016-01-20 18:50:48,still
2016-01-20 19:21:11,walking
2016-01-20 19:27:50,still
2016-01-20 19:33:56,walking
2016-01-20 19:34:57,walking
2016-01-20 19:38:49,still
2016-01-20 21:08:19,walking
2016-01-20 21:11:19,walking
2016-01-20 22:30:18,still
2016-01-20 22:33:18,still
2016-01-21 00:00:00,still
2016-01-21 06:47:37,walking
2016-01-21 06:49:30,in_vehicle
2016-01-21 07:14:17,still
2016-01-21 07:18:26,walking
2016-01-21 07:23:35,in_vehicle
2016-01-21 07:43:21,walking
2016-01-21 07:54:35,still
2016-01-21 09:11:54,walking
2016-01-21 09:21:29,in_vehicle
2016-01-21 10:35:01,walking
2016-01-21 10:42:19,still
2016-01-21 10:50:22,in_vehicle
2016-01-21 11:08:01,still
2016-01-21 12:26:44,still
2016-01-21 12:57:38,still
2016-01-21 14:40:56,walking
2016-01-21 14:42:11,walking
2016-01-21 14:43:57,still
2016-01-21 14:47:30,walking
2016-01-21 14:57:14,in_vehicle
2016-01-21 15:56:57,walking
2016-01-21 15:58:36,walking
2016-01-21 15:59:57,in_vehicle
2016-01-21 16:10:32,still
2016-01-21 17:03:47,walking
2016-01-21 17:04:58,still
2016-01-21 17:09:00,walking
2016-01-21 17:10:33,in_vehicle
2016-01-21 17:50:19,still
2016-01-21 18:14:41,walking
2016-01-21 18:16:30,still
2016-01-21 19:32:47,walking
2016-01-21 19:35:07,still
2016-01-21 19:39:48,walking
2016-01-21 19:43:46,in_vehicle
2016-01-21 19:54:18,still
2016-01-21 19:58:25,still
2016-01-21 20:24:50,in_vehicle
2016-01-21 20:33:04,still
2016-01-21 21:18:05,walking
2016-01-21 21:21:57,still
2016-01-21 21:45:51,in_vehicle
2016-01-21 22:20:11,walking
2016-01-21 22:25:54,still
2016-01-22 00:00:00,still
2016-01-22 00:15:46,walking
2016-01-22 00:20:01,in_vehicle
2016-01-22 00:44:04,walking
2016-01-22 00:45:11,still
2016-01-22 03:01:50,still
2016-01-22 15:40:52,still
2016-01-22 16:10:11,walking
2016-01-22 16:11:11,still
2016-01-22 16:16:16,walking
2016-01-22 16:17:48,still
2016-01-22 17:46:52,walking
2016-01-22 17:53:24,still
2016-01-22 17:58:36,walking
2016-01-22 18:06:18,still
2016-01-22 19:08:48,walking
2016-01-22 19:10:44,still
2016-01-22 19:18:31,walking
2016-01-22 19:24:07,still
2016-01-22 19:30:17,walking
2016-01-22 19:36:51,still
2016-01-22 20:01:19,still
2016-01-22 20:23:21,walking
2016-01-22 20:24:25,still
2016-01-22 20:35:00,walking
2016-01-22 20:37:00,still
2016-01-22 21:28:08,walking
2016-01-22 21:30:39,still
2016-01-22 21:33:11,walking
2016-01-22 21:34:41,still
2016-01-22 21:35:41,in_vehicle
2016-01-22 21:59:32,in_vehicle
2016-01-22 22:14:57,walking
2016-01-22 22:16:00,in_vehicle
2016-01-22 22:42:48,still
2016-01-22 23:41:55,in_vehicle
2016-01-23 00:00:00,in_vehicle
2016-01-23 00:16:59,still
2016-01-23 00:55:33,still
2016-01-23 04:48:08,in_vehicle
2016-01-23 04:58:16,still
2016-01-23 05:23:39,still
2016-01-23 05:42:48,walking
2016-01-23 05:44:42,still
2016-01-23 06:07:20,in_vehicle
2016-01-23 06:17:36,still
2016-01-23 11:35:36,in_vehicle
2016-01-23 12:20:30,still
2016-01-23 12:29:48,still
2016-01-23 16:28:26,walking
2016-01-23 16:30:34,still
2016-01-23 17:46:39,walking
2016-01-23 17:52:43,still
2016-01-23 17:56:47,walking
2016-01-23 18:03:49,still
2016-01-23 19:29:56,walking
2016-01-23 19:37:04,still
2016-01-23 19:41:41,walking
2016-01-23 19:44:44,still
2016-01-23 20:27:20,walking
2016-01-23 20:28:23,still
2016-01-23 20:50:53,in_vehicle
2016-01-23 21:02:27,walking
2016-01-23 21:03:38,in_vehicle
2016-01-23 21:19:23,still
2016-01-23 21:59:05,still
2016-01-25 00:00:00,still
2016-01-25 07:09:10,in_vehicle
2016-01-25 08:06:39,walking
2016-01-25 08:15:46,still
2016-01-25 09:42:03,walking
2016-01-25 09:44:18,still
2016-01-25 10:20:07,still
2016-01-25 11:31:56,walking
2016-01-25 11:33:27,walking
2016-01-25 11:34:29,walking
2016-01-25 11:38:34,still
2016-01-25 12:00:53,walking
2016-01-25 12:06:17,still
2016-01-25 13:24:02,still
2016-01-25 13:45:11,walking
2016-01-25 13:49:20,still
2016-01-25 13:53:00,walking
2016-01-25 13:54:56,still
2016-01-25 15:00:21,walking
2016-01-25 15:10:29,in_vehicle
2016-01-25 15:47:19,still
2016-01-25 18:23:30,walking
2016-01-25 18:25:02,still
2016-01-25 18:43:01,in_vehicle
2016-01-25 19:30:54,walking
2016-01-25 19:31:58,walking
2016-01-25 19:37:56,still
2016-01-25 19:43:40,walking
2016-01-25 19:49:46,in_vehicle
2016-01-25 19:59:12,still
2016-01-25 20:23:05,walking
2016-01-25 20:24:58,still
2016-01-25 20:26:58,walking
2016-01-25 20:28:53,in_vehicle
2016-01-25 20:37:48,walking
2016-01-25 20:38:58,in_vehicle
2016-01-25 20:56:22,walking
2016-01-25 20:58:40,still
2016-01-25 21:02:58,walking
2016-01-25 21:03:59,still
2016-01-25 21:11:58,walking
2016-01-25 21:13:11,walking
2016-01-25 21:14:12,in_vehicle
2016-01-25 21:31:09,still
2016-01-25 22:10:14,in_vehicle
2016-01-25 22:35:00,walking
2016-01-25 22:37:37,still
2016-01-25 22:44:57,walking
2016-01-25 22:46:20,still
2016-01-25 22:47:36,walking
2016-01-25 22:48:36,still
2016-01-26 00:00:00,still
2016-01-26 00:47:39,walking
2016-01-26 00:51:16,still
2016-01-26 05:39:53,in_vehicle
2016-01-26 06:10:09,still
2016-01-26 15:45:51,in_vehicle
2016-01-26 16:12:03,walking
2016-01-26 16:14:05,still
2016-01-26 17:04:43,in_vehicle
2016-01-26 17:28:00,walking
2016-01-26 17:30:01,in_vehicle
2016-01-26 17:56:24,walking
2016-01-26 17:58:02,still
2016-01-26 18:00:33,walking
2016-01-26 18:01:37,in_vehicle
2016-01-26 18:27:07,still
2016-01-26 18:55:15,in_vehicle
2016-01-26 19:15:32,still
2016-01-26 19:30:27,walking
