date,ActivFit
2015-12-29 00:00:00,still
2015-12-29 00:26:18,still
2015-12-29 08:25:24,still
2015-12-29 11:28:17,still
2015-12-29 11:32:23,walking
2015-12-29 12:18:30,walking
2015-12-29 12:54:18,walking
2015-12-29 13:01:03,still
2015-12-29 13:29:48,still
2015-12-29 13:35:21,walking
2015-12-29 13:36:33,still
2015-12-29 13:38:24,walking
2015-12-29 13:39:40,still
2015-12-29 13:57:13,still
2015-12-29 14:05:51,walking
2015-12-29 14:08:56,still
2015-12-29 14:16:53,walking
2015-12-29 14:30:08,still
2015-12-29 14:53:22,walking
2015-12-29 14:56:15,still
2015-12-29 15:12:51,walking
2015-12-29 15:14:24,still
2015-12-29 15:36:30,still
2015-12-29 16:26:23,in_vehicle
2015-12-29 18:00:59,still
2015-12-29 18:59:12,walking
2015-12-29 19:03:14,still
2015-12-29 19:10:01,walking
2015-12-29 19:11:29,still
2015-12-29 20:29:16,still
2015-12-29 20:50:47,still
2015-12-29 23:19:03,still
2015-12-30 06:13:58,sleep
2015-12-30 06:39:03,still
2015-12-30 06:40:22,walking
2015-12-30 06:41:46,still
2015-12-30 12:03:08,still
2015-12-30 12:09:27,still
2015-12-30 12:12:49,walking
2015-12-30 12:19:22,still
2015-12-30 14:11:02,still
2015-12-30 14:37:35,still
2015-12-30 14:49:25,still
2015-12-30 14:50:31,walking
2015-12-30 14:55:21,still
2015-12-30 14:57:11,walking
2015-12-30 15:01:14,in_vehicle
2015-12-30 15:14:34,still
2015-12-30 15:16:05,walking
2015-12-30 15:20:48,still
2015-12-30 15:24:56,walking
2015-12-30 15:26:13,still
2015-12-30 16:21:27,in_vehicle
2015-12-30 16:49:07,still
2015-12-30 18:09:32,walking
2015-12-30 18:10:53,still
2015-12-30 18:28:09,walking
2015-12-30 18:29:29,still
2015-12-30 18:30:58,walking
2015-12-30 18:32:03,still
2015-12-30 18:39:36,walking
2015-12-30 18:40:43,biking
2015-12-30 19:48:10,still
2015-12-30 19:49:58,walking
2015-12-30 19:58:09,still
2015-12-30 20:14:45,walking
2015-12-30 20:16:02,still
2015-12-30 22:56:26,walking
2015-12-30 22:58:45,still
2015-12-30 23:07:17,still
2015-12-31 06:04:11,sleep
2015-12-31 08:14:15,still
2015-12-31 08:25:50,walking
2015-12-31 08:27:08,still
2015-12-31 08:43:49,walking
2015-12-31 08:45:43,still
2015-12-31 08:51:06,in_vehicle
2015-12-31 09:12:01,still
2015-12-31 09:13:44,walking
2015-12-31 09:15:56,still
2015-12-31 09:20:12,walking
2015-12-31 09:22:16,still
2015-12-31 09:27:15,walking
2015-12-31 09:29:36,still
2015-12-31 10:13:07,walking
2015-12-31 10:14:36,still
2015-12-31 10:40:54,still
2015-12-31 10:54:39,in_vehicle
2015-12-31 11:09:44,walking
2015-12-31 11:10:45,still
2015-12-31 11:33:27,still
2015-12-31 11:58:20,walking
2015-12-31 11:59:41,still
2015-12-31 12:47:39,in_vehicle
2015-12-31 13:12:46,still
2015-12-31 13:25:52,in_vehicle
2015-12-31 13:38:09,walking
2015-12-31 13:40:26,still
2015-12-31 15:46:32,still
2015-12-31 16:03:49,walking
2015-12-31 16:32:49,still
2015-12-31 16:45:14,in_vehicle
2015-12-31 16:53:46,still
2015-12-31 17:03:44,walking
2015-12-31 17:05:06,still
2015-12-31 17:20:22,walking
2015-12-31 17:21:27,still
2015-12-31 17:28:47,walking
2015-12-31 17:31:15,still
2015-12-31 17:55:06,walking
2015-12-31 18:03:22,still
2015-12-31 19:18:40,still
2015-12-31 19:29:09,still
2015-12-31 20:09:17,walking
2015-12-31 20:16:31,still
2015-12-31 20:58:13,still
2015-12-31 21:12:00,still
2015-12-31 21:58:08,walking
2015-12-31 21:59:16,still
2016-01-01 00:00:00,still
2016-01-01 05:41:40,still
2016-01-01 05:44:26,still
