date,ActivFit
2018-01-10 00:00:00,still
2018-01-10 07:53:24,walking
2018-01-10 07:58:00,still
2018-01-10 07:59:33,in_vehicle
2018-01-10 08:03:02,walking
2018-01-10 08:04:12,in_vehicle
2018-01-10 08:23:01,still
2018-01-10 08:24:57,walking
2018-01-10 08:36:24,still
2018-01-10 08:40:04,walking
2018-01-10 08:41:53,still
2018-01-10 08:47:20,in_vehicle
2018-01-10 09:08:19,still
2018-01-10 09:12:59,walking
2018-01-10 09:15:05,still
2018-01-10 09:20:00,in_vehicle
2018-01-10 09:27:12,still
2018-01-10 10:39:13,still
2018-01-10 17:18:48,in_vehicle
2018-01-10 17:32:02,still
2018-01-10 18:32:15,walking
2018-01-10 18:34:58,still
2018-01-10 18:38:34,in_vehicle
2018-01-10 18:56:37,walking
2018-01-10 19:07:33,still
2018-01-10 19:11:25,walking
2018-01-10 19:13:08,still
2018-01-10 19:29:53,still
2018-01-10 19:37:14,walking
2018-01-10 19:38:37,still
2018-01-10 21:04:05,walking
2018-01-10 21:12:51,still
2018-01-10 21:46:44,walking
2018-01-10 21:55:34,still
2018-01-10 22:04:07,still
2018-01-10 22:22:08,walking
2018-01-10 22:23:56,still
2018-01-10 22:44:10,walking
2018-01-10 22:45:26,still
2018-01-11 00:00:00,still
2018-01-11 13:40:50,walking
2018-01-11 13:42:02,walking
2018-01-11 13:43:07,still
2018-01-11 17:57:23,walking
2018-01-11 18:06:32,still
2018-01-11 19:12:01,still
2018-01-11 20:37:34,walking
2018-01-11 20:39:57,still
2018-01-11 20:54:53,walking
2018-01-11 21:03:53,still
2018-01-11 22:20:07,still
2018-01-11 23:46:46,walking
2018-01-12 00:00:00,still
2018-01-12 07:25:18,running
2018-01-12 07:27:25,still
2018-01-12 07:53:58,walking
2018-01-12 07:56:03,in_vehicle
2018-01-12 08:14:33,still
2018-01-12 08:20:21,walking
2018-01-12 08:39:56,walking
2018-01-12 08:42:54,still
2018-01-12 08:59:15,in_vehicle
2018-01-12 09:27:00,walking
2018-01-12 09:28:13,still
2018-01-12 10:12:44,walking
2018-01-12 10:14:30,still
2018-01-12 12:59:26,walking
2018-01-12 13:00:36,still
2018-01-12 16:19:14,walking
2018-01-12 16:21:12,in_vehicle
2018-01-12 16:27:45,still
2018-01-12 17:30:04,walking
2018-01-12 17:47:22,walking
2018-01-12 17:53:13,still
2018-01-12 17:55:09,in_vehicle
2018-01-12 17:58:39,still
2018-01-12 18:00:03,walking
2018-01-12 18:04:05,still
2018-01-12 19:43:51,walking
2018-01-12 19:45:10,still
2018-01-12 20:46:56,still
2018-01-12 21:20:28,still
2018-01-13 00:00:00,still
2018-01-13 10:16:19,still
2018-01-13 10:22:30,walking
2018-01-13 10:24:24,still
2018-01-13 12:18:13,walking
2018-01-13 12:24:41,still
2018-01-13 12:29:15,walking
