date,ActivFit
2016-10-13 00:00:00,still
2016-10-13 15:15:19,walking
2016-10-13 15:17:50,still
2016-10-13 15:34:05,in_vehicle
2016-10-13 15:53:55,still
2016-10-13 16:07:18,walking
2016-10-13 16:08:55,still
2016-10-13 16:11:45,in_vehicle
2016-10-13 16:19:29,walking
2016-10-13 16:21:40,still
2016-10-13 16:26:00,walking
2016-10-13 16:28:03,still
2016-10-13 16:33:17,walking
2016-10-13 16:40:16,in_vehicle
2016-10-13 16:56:49,walking
2016-10-13 17:02:33,still
2016-10-13 17:09:13,walking
2016-10-13 17:10:20,still
2016-10-13 17:16:37,walking
2016-10-13 17:22:32,still
2016-10-13 22:34:16,still
2016-10-14 00:00:00,still
2016-10-14 07:30:42,in_vehicle
2016-10-14 08:33:17,walking
2016-10-14 08:37:20,still
2016-10-14 09:15:04,walking
2016-10-14 09:19:26,still
2016-10-14 09:33:13,still
2016-10-14 13:38:54,walking
2016-10-14 13:40:01,still
2016-10-14 16:46:48,in_vehicle
2016-10-14 18:07:48,still
2016-10-14 18:11:29,walking
2016-10-14 18:14:44,still
2016-10-14 21:31:32,still
2016-10-15 00:00:00,still
2016-10-15 15:13:05,still
2016-10-15 17:46:15,walking
2016-10-15 17:48:33,in_vehicle
2016-10-15 17:59:43,walking
2016-10-15 18:00:59,in_vehicle
2016-10-15 18:34:43,still
2016-10-15 18:44:07,in_vehicle
2016-10-15 19:34:54,walking
2016-10-15 19:46:39,still
2016-10-15 21:32:52,still
2016-10-15 23:15:40,walking
2016-10-15 23:18:24,walking
2016-10-15 23:29:22,still
2016-10-16 00:00:00,still
2016-10-16 00:09:11,walking
2016-10-16 00:20:44,still
2016-10-16 00:25:00,in_vehicle
2016-10-16 00:42:27,walking
2016-10-16 00:46:02,in_vehicle
2016-10-16 01:15:38,in_vehicle
2016-10-16 01:32:42,walking
2016-10-16 01:48:16,walking
2016-10-16 01:53:04,walking
2016-10-16 01:54:55,still
2016-10-16 13:48:53,still
2016-10-16 16:55:43,walking
2016-10-16 17:02:16,in_vehicle
2016-10-16 18:29:36,walking
2016-10-16 18:33:00,in_vehicle
2016-10-16 18:54:58,still
2016-10-16 19:18:41,walking
2016-10-16 19:21:41,walking
2016-10-16 19:25:57,walking
2016-10-16 19:30:59,still
2016-10-16 19:32:35,in_vehicle
2016-10-16 19:47:22,walking
2016-10-16 19:59:12,still
2016-10-17 00:00:00,still
2016-10-17 04:30:05,still
2016-10-17 15:54:06,walking
2016-10-17 15:58:12,walking
2016-10-17 16:00:07,in_vehicle
2016-10-17 16:19:10,still
2016-10-17 17:08:01,walking
2016-10-17 17:09:53,still
2016-10-17 17:14:30,in_vehicle
2016-10-17 17:29:05,walking
2016-10-17 17:35:52,still
2016-10-17 18:11:47,walking
2016-10-17 18:12:51,in_vehicle
2016-10-17 18:35:00,walking
2016-10-17 18:39:57,still
2016-10-17 19:23:39,still
2016-10-18 00:00:00,still
2016-10-18 09:28:29,still
2016-10-18 18:49:50,walking
2016-10-18 18:55:00,still
2016-10-18 18:58:20,in_vehicle
2016-10-18 20:07:12,still
2016-10-18 20:23:10,walking
2016-10-18 20:26:02,still
2016-10-18 21:53:04,in_vehicle
2016-10-18 22:13:07,still
2016-10-18 22:21:41,still
2016-10-20 00:00:00,still
2016-10-20 08:35:41,still
2016-10-20 10:35:00,walking
2016-10-20 10:38:30,still
2016-10-20 10:41:03,in_vehicle
2016-10-20 11:11:11,walking
2016-10-20 11:15:02,still
2016-10-20 13:43:41,walking
2016-10-20 13:45:32,in_vehicle
2016-10-20 14:13:06,walking
2016-10-20 14:16:39,still
2016-10-20 14:42:00,walking
2016-10-20 14:43:01,still
2016-10-20 15:16:14,walking
2016-10-20 15:18:30,in_vehicle
2016-10-20 15:35:52,walking
2016-10-20 15:38:21,still
2016-10-20 15:44:44,still
2016-10-20 17:15:43,in_vehicle
2016-10-20 17:29:05,still
2016-10-21 00:00:00,still
2016-10-21 07:12:34,walking
2016-10-21 07:15:17,in_vehicle
2016-10-21 08:32:56,still
2016-10-21 08:39:49,still
2016-10-21 08:45:05,walking
2016-10-21 08:47:02,still
2016-10-21 08:56:35,walking
2016-10-21 08:57:36,still
2016-10-21 09:05:17,still
2016-10-21 09:11:07,still
2016-10-21 09:55:57,still
2016-10-21 15:18:16,walking
2016-10-21 15:19:24,still
2016-10-21 16:32:49,walking
2016-10-21 16:33:50,still
2016-10-21 16:43:25,walking
2016-10-21 16:45:00,still
2016-10-21 17:23:49,walking
2016-10-21 17:27:17,still
2016-10-21 23:27:37,in_vehicle
2016-10-21 23:37:29,still
2016-10-22 00:00:00,still
2016-10-22 16:47:07,walking
2016-10-22 16:48:08,still
2016-10-22 17:17:17,walking
2016-10-22 17:21:03,still
2016-10-22 17:24:31,walking
2016-10-22 17:27:00,still
2016-10-22 17:29:00,walking
2016-10-22 17:30:00,still
2016-10-22 18:55:02,walking
2016-10-22 18:56:53,still
2016-10-22 18:59:02,in_vehicle
2016-10-22 19:40:14,walking
2016-10-22 19:41:42,still
2016-10-22 19:43:57,walking
2016-10-22 19:47:43,still
2016-10-22 20:14:46,walking
2016-10-22 20:20:36,in_vehicle
2016-10-22 20:36:02,walking
2016-10-22 20:41:40,still
2016-10-22 20:48:09,walking
2016-10-22 20:54:31,still
2016-10-22 22:21:00,walking
2016-10-22 22:25:25,still
2016-10-23 00:00:00,still
2016-10-23 11:37:36,still
2016-10-23 16:07:19,walking
2016-10-23 16:14:43,walking
2016-10-23 16:16:30,in_vehicle
2016-10-23 16:28:44,walking
2016-10-23 16:32:03,walking
2016-10-23 16:39:44,walking
2016-10-23 16:42:08,still
2016-10-23 16:45:31,walking
2016-10-23 16:46:58,still
2016-10-23 16:53:40,walking
2016-10-23 16:54:56,walking
2016-10-23 16:59:24,in_vehicle
2016-10-23 17:22:04,walking
2016-10-23 17:26:53,still
2016-10-23 17:35:29,walking
2016-10-23 17:36:52,in_vehicle
2016-10-23 17:44:39,walking
2016-10-23 17:47:45,still
2016-10-23 18:02:06,in_vehicle
2016-10-23 18:11:48,still
2016-10-23 18:19:32,walking
2016-10-23 18:21:30,still
2016-10-23 22:28:20,in_vehicle
2016-10-23 22:43:23,walking
2016-10-23 22:52:51,still
2016-10-25 00:00:00,still
2016-10-25 08:01:38,walking
2016-10-25 08:03:39,still
2016-10-25 08:28:18,walking
2016-10-25 08:33:18,in_vehicle
2016-10-25 08:45:12,still
2016-10-25 08:48:40,in_vehicle
2016-10-25 10:09:19,walking
2016-10-25 10:13:04,still
2016-10-25 10:37:05,walking
2016-10-25 10:38:11,still
2016-10-25 10:52:22,walking
2016-10-25 10:55:13,still
2016-10-25 10:56:45,in_vehicle
2016-10-25 11:12:30,walking
2016-10-25 11:13:53,still
2016-10-25 11:29:11,walking
2016-10-25 11:31:03,still
2016-10-25 11:36:08,walking
2016-10-25 11:41:55,still
2016-10-25 12:28:07,walking
2016-10-25 12:30:07,still
2016-10-25 14:52:45,still
2016-10-25 14:54:47,walking
2016-10-25 15:05:20,in_vehicle
2016-10-25 15:38:00,still
2016-10-25 15:40:21,walking
2016-10-25 15:46:07,still
2016-10-25 15:54:14,walking
2016-10-25 16:01:31,walking
2016-10-25 16:05:38,still
2016-10-26 00:00:00,still
2016-10-26 04:22:21,still
2016-10-26 07:56:01,walking
2016-10-26 07:58:30,in_vehicle
2016-10-26 08:30:40,walking
2016-10-26 08:34:02,still
2016-10-26 08:43:15,walking
2016-10-26 08:45:00,still
2016-10-26 09:34:31,walking
2016-10-26 09:36:01,still
2016-10-26 16:16:58,walking
2016-10-26 16:17:58,still
2016-10-26 17:03:02,walking
2016-10-26 17:04:02,still
2016-10-26 18:02:59,walking
2016-10-26 18:10:13,in_vehicle
2016-10-26 18:51:12,still
2016-10-26 18:53:05,walking
2016-10-26 18:54:51,walking
2016-10-26 18:56:54,still
2016-10-27 00:00:00,still
2016-10-27 07:27:41,walking
2016-10-27 07:31:54,in_vehicle
2016-10-27 08:09:05,walking
