date,ActivFit
2016-06-06 12:58:43,walking
2016-06-06 13:01:40,walking
2016-06-06 13:13:01,walking
2016-06-06 13:16:01,walking
2016-06-06 18:55:31,walking
2016-06-06 19:06:01,walking
2016-06-06 19:07:09,walking
2016-06-06 19:08:34,walking
2016-06-06 19:12:34,walking
2016-06-06 19:18:38,walking
2016-06-06 19:26:41,walking
2016-06-06 20:50:49,walking
2016-06-06 20:56:34,walking
2016-06-06 21:05:33,walking
2016-06-06 21:08:37,walking
2016-06-06 22:02:44,walking
2016-06-07 12:00:01,walking
2016-06-07 13:39:02,walking
2016-06-07 20:09:00,walking
2016-06-07 20:20:37,walking
2016-06-07 20:23:01,walking
2016-06-08 08:41:36,walking
2016-06-08 10:13:28,walking
2016-06-08 10:37:00,walking
2016-06-08 10:48:01,walking
2016-06-08 10:49:20,walking
2016-06-08 13:06:01,walking
2016-06-08 14:31:01,walking
2016-06-08 14:53:00,walking
2016-06-08 14:57:34,running
2016-06-08 15:56:01,walking
2016-06-09 17:08:01,walking
2016-06-09 20:49:54,walking
2016-06-12 09:39:01,walking
2016-06-13 17:53:57,walking
2016-06-13 18:17:01,walking
2016-06-13 18:22:35,walking
2016-06-13 18:31:57,walking
2016-06-13 18:57:57,walking
2016-06-15 19:10:53,walking
2016-06-18 00:43:01,walking
2016-06-18 16:47:33,walking
2016-06-18 18:43:21,walking
2016-06-18 19:08:01,walking
2016-06-18 19:12:36,walking
2016-06-18 19:53:01,walking
2016-06-19 11:31:34,walking
2016-06-19 14:12:57,walking
2016-06-19 14:18:57,running
2016-06-19 14:24:57,walking
2016-06-19 14:32:57,walking
2016-06-19 14:54:57,walking
2016-06-19 15:32:57,walking
2016-06-19 15:49:50,walking
2016-06-19 16:06:57,walking
2016-06-19 16:40:48,walking
2016-06-19 16:48:00,walking
2016-06-19 17:29:01,walking
2016-06-19 17:43:01,walking
2016-06-19 17:52:57,walking
2016-06-19 17:54:58,walking
2016-06-19 19:02:00,walking
2016-10-13 09:07:01,walking
2016-10-13 10:57:01,walking
2016-10-13 11:08:01,walking
2016-10-13 11:12:01,walking
2016-10-13 13:04:01,walking
2016-10-13 13:09:01,walking
2016-10-13 15:28:00,walking
2016-10-13 15:33:33,walking
2016-10-13 15:39:48,walking
2016-10-13 18:29:45,walking
2016-10-20 13:43:01,walking
2016-10-20 16:07:34,walking
2016-10-20 20:20:00,walking
2016-10-21 09:03:00,walking
2016-10-21 10:29:43,walking
2016-10-21 10:52:59,walking
2016-10-21 12:17:15,walking
2016-10-21 21:45:00,walking
2016-10-22 10:00:02,walking
2016-10-22 12:41:01,walking
2016-10-22 13:02:47,walking
2016-10-22 13:50:34,walking
2016-10-22 13:58:01,walking
2016-10-22 14:04:01,walking
2016-10-22 14:09:00,walking
2016-10-22 14:13:10,walking
2016-10-22 14:29:01,walking
2016-10-22 15:14:47,walking
2016-10-22 15:26:00,walking
2016-10-22 15:47:01,walking
2016-10-22 16:00:14,walking
2016-10-22 16:03:40,walking
2016-10-22 16:14:27,walking
2016-10-22 16:48:37,walking
