date,ActivFit
2016-05-31 00:00:00,still
2016-05-31 11:55:52,walking
2016-05-31 11:57:00,still
2016-05-31 12:19:40,walking
2016-05-31 12:28:20,still
2016-05-31 12:39:49,walking
2016-05-31 12:40:59,still
2016-05-31 12:42:14,walking
2016-05-31 12:44:01,still
2016-05-31 12:49:11,walking
2016-05-31 12:50:59,walking
2016-05-31 12:56:56,walking
2016-05-31 13:08:18,in_vehicle
2016-05-31 13:10:59,walking
2016-05-31 13:14:01,in_vehicle
2016-05-31 13:23:12,still
2016-05-31 14:08:19,walking
2016-05-31 14:09:56,walking
2016-05-31 14:26:01,walking
2016-05-31 14:29:43,walking
2016-05-31 14:35:03,still
2016-05-31 19:06:21,walking
2016-05-31 20:20:44,walking
2016-05-31 20:44:41,still
2016-05-31 20:51:15,walking
2016-05-31 20:58:01,still
2016-05-31 21:05:00,walking
2016-05-31 21:08:01,walking
2016-05-31 21:09:17,walking
2016-05-31 21:13:38,walking
2016-05-31 21:29:01,still
2016-05-31 22:20:01,still
2016-05-31 22:31:15,in_vehicle
2016-05-31 23:16:40,still
2016-06-01 00:00:00,still
2016-06-01 10:58:24,walking
2016-06-01 11:02:00,still
2016-06-01 11:37:00,walking
2016-06-01 11:39:55,still
2016-06-01 11:46:12,in_vehicle
2016-06-01 11:57:00,walking
2016-06-01 12:12:00,running
2016-06-01 12:15:52,still
2016-06-01 16:19:49,walking
2016-06-01 16:20:58,still
2016-06-01 16:35:19,in_vehicle
2016-06-01 17:05:06,walking
2016-06-01 17:18:25,walking
2016-06-01 17:24:37,still
2016-06-01 17:28:00,walking
2016-06-01 17:29:51,walking
2016-06-01 17:32:00,walking
2016-06-01 17:33:51,still
2016-06-01 20:01:53,in_vehicle
2016-06-01 20:53:01,in_vehicle
2016-06-01 21:19:54,in_vehicle
2016-06-01 22:44:22,in_vehicle
2016-06-01 22:51:13,in_vehicle
