date,ActivFit
2016-03-26 00:00:00,still
2016-03-26 07:26:23,walking
2016-03-26 07:28:09,still
2016-03-26 07:35:04,walking
2016-03-26 07:44:51,still
2016-03-26 07:48:00,walking
2016-03-26 07:50:12,still
2016-03-26 07:52:51,walking
2016-03-26 08:05:52,still
2016-03-26 08:09:59,walking
2016-03-26 08:12:11,still
2016-03-26 08:13:57,walking
2016-03-26 08:14:59,still
2016-03-26 09:07:11,still
2016-03-26 09:23:07,still
2016-03-26 09:24:51,in_vehicle
2016-03-26 09:43:12,walking
2016-03-26 09:44:18,in_vehicle
2016-03-26 09:46:32,still
2016-03-26 10:12:13,walking
2016-03-26 10:14:12,still
2016-03-26 10:15:42,in_vehicle
2016-03-26 11:08:20,still
2016-03-26 11:10:15,still
2016-03-26 11:16:19,walking
2016-03-26 11:39:46,walking
2016-03-26 11:45:02,still
2016-03-26 11:50:07,walking
2016-03-26 11:52:11,still
2016-03-26 12:04:32,walking
2016-03-26 12:20:05,in_vehicle
2016-03-26 12:41:33,walking
2016-03-26 12:46:46,still
2016-03-26 13:58:57,walking
2016-03-26 14:01:31,still
2016-03-26 14:02:48,in_vehicle
2016-03-26 15:21:46,walking
2016-03-26 15:27:55,still
2016-03-26 16:12:38,walking
2016-03-26 16:20:46,still
2016-03-26 16:22:18,in_vehicle
2016-03-26 16:34:33,walking
2016-03-26 16:38:51,still
2016-03-26 17:05:45,still
2016-03-26 17:44:15,walking
2016-03-26 17:45:46,in_vehicle
2016-03-26 18:08:11,walking
2016-03-26 18:19:46,still
2016-03-26 18:22:19,walking
2016-03-26 18:25:06,in_vehicle
2016-03-26 18:32:28,walking
2016-03-26 18:48:24,still
2016-03-26 19:37:50,walking
2016-03-26 19:43:38,still
2016-03-26 19:45:41,walking
2016-03-26 19:49:48,still
2016-03-26 20:10:55,still
2016-03-26 20:12:17,in_vehicle
2016-03-26 20:35:53,still
2016-03-26 23:00:00,still
2016-03-27 07:01:42,walking
2016-03-27 07:10:03,walking
2016-03-27 07:13:25,still
2016-03-27 07:15:25,walking
2016-03-27 07:27:51,walking
2016-03-27 07:50:40,still
2016-03-27 07:51:46,walking
2016-03-27 07:53:15,still
2016-03-27 07:56:51,walking
2016-03-27 07:58:09,still
2016-03-27 08:01:11,walking
2016-03-27 08:02:50,still
2016-03-27 08:45:58,walking
2016-03-27 08:46:58,still
2016-03-27 09:24:13,still
2016-03-27 09:27:01,in_vehicle
2016-03-27 09:48:54,walking
2016-03-27 09:50:21,still
2016-03-27 10:37:01,in_vehicle
2016-03-27 10:54:19,still
2016-03-27 10:59:21,walking
2016-03-27 11:19:38,walking
2016-03-27 11:28:33,still
2016-03-27 11:32:11,in_vehicle
2016-03-27 11:56:11,walking
2016-03-27 12:00:12,still
2016-03-27 12:35:03,still
2016-03-27 14:19:21,walking
2016-03-27 14:21:22,still
2016-03-27 14:23:28,walking
2016-03-27 14:24:59,still
2016-03-27 14:50:33,in_vehicle
2016-03-27 15:03:54,still
2016-03-27 15:07:35,still
2016-03-27 15:10:08,walking
2016-03-27 15:24:31,still
2016-03-27 15:26:35,walking
2016-03-27 15:32:25,in_vehicle
2016-03-27 16:25:37,still
2016-03-27 16:31:41,still
2016-03-27 17:42:04,still
2016-03-27 18:39:38,still
2016-03-27 18:41:10,in_vehicle
2016-03-27 19:10:17,still
2016-03-27 19:12:33,walking
2016-03-27 19:15:05,still
2016-03-28 00:00:00,still
2016-03-28 07:57:49,walking
2016-03-28 08:03:05,still
2016-03-28 08:07:02,walking
2016-03-28 08:10:35,still
2016-03-28 08:18:59,walking
2016-03-28 08:20:35,in_vehicle
2016-03-28 08:39:51,walking
2016-03-28 08:42:30,still
2016-03-28 09:06:40,walking
2016-03-28 09:25:22,walking
2016-03-28 09:59:37,walking
2016-03-28 10:12:47,still
2016-03-28 10:48:36,walking
2016-03-28 10:54:02,still
2016-03-28 11:18:42,walking
2016-03-28 11:26:36,still
2016-03-28 11:28:36,walking
2016-03-28 11:35:48,still
2016-03-28 11:38:20,walking
2016-03-28 11:39:26,walking
2016-03-28 11:40:28,in_vehicle
2016-03-28 14:58:59,still
2016-03-28 15:04:26,walking
2016-03-28 15:08:04,walking
