date,5. volume,4. close,2. high,1. open,3. low
5/7/2018,42451423,185.16,187.67,185.18,184.75
5/8/2018,28402777,186.05,186.22,184.99,183.665
5/9/2018,23211241,187.36,187.4,186.55,185.22
5/10/2018,27989289,190.04,190.37,187.74,187.65
5/11/2018,26212221,188.59,190.06,189.49,187.45
5/14/2018,20778772,188.15,189.53,189.01,187.86
5/15/2018,23695159,186.44,187.07,186.78,185.1
5/16/2018,19183064,188.18,188.46,186.07,186
5/17/2018,17294029,186.99,188.91,188,186.36
5/18/2018,18297728,186.31,187.8102,187.19,186.13
5/21/2018,18400787,187.63,189.27,188,186.9106
5/22/2018,15240704,187.16,188.88,188.375,186.78
5/23/2018,20058415,188,188.5,186.35,185.76
5/24/2018,23233975,188.15,188.84,188.77,186.21
5/25/2018,17460963,188.58,189.65,188.23,187.65
5/29/2018,22514075,187.9,188.75,187.6,186.87
5/30/2018,18690547,187.5,188,187.72,186.78
5/31/2018,27482793,186.87,188.23,187.22,186.14
6/1/2018,23442510,190.24,190.26,187.9912,187.75
6/4/2018,26266174,191.83,193.42,191.635,191.35
6/5/2018,21565963,193.31,193.94,193.065,192.36
6/6/2018,20933619,193.98,194.08,193.63,191.92
6/7/2018,21347180,193.46,194.2,194.14,192.335
6/8/2018,26656799,191.7,192,191.17,189.77
6/11/2018,18308460,191.23,191.97,191.35,190.21
6/12/2018,16911141,192.28,192.611,191.385,191.15
6/13/2018,21638393,190.7,192.88,192.42,190.44
6/14/2018,21610074,190.8,191.57,191.55,190.22
6/15/2018,61719160,188.84,190.16,190.03,188.26
6/18/2018,18484865,188.74,189.22,187.88,187.2
6/19/2018,33578455,185.69,186.33,185.14,183.45
6/20/2018,20628701,186.5,187.2,186.35,185.73
6/21/2018,25711898,185.46,188.35,187.25,184.94
6/22/2018,27200447,184.92,186.15,186.12,184.7
6/25/2018,31663096,182.17,184.92,183.4,180.73
6/26/2018,24569201,184.43,186.53,182.99,182.54
6/27/2018,25285328,184.16,187.28,185.2278,184.03
6/28/2018,17365235,185.5,186.21,184.1,183.8
6/29/2018,22737666,185.11,187.19,186.29,182.91
7/2/2018,17731343,187.18,187.3,183.82,183.42
7/3/2018,13954806,183.92,187.95,187.79,183.54
7/5/2018,16604248,185.4,186.41,185.26,184.28
7/6/2018,17485245,187.97,188.434,185.42,185.2
7/9/2018,19756634,190.58,190.68,189.5,189.3
7/10/2018,15939149,190.35,191.28,190.71,190.1801
7/11/2018,18831470,187.88,189.7799,188.5,187.61
7/12/2018,18041131,191.03,191.41,189.53,189.31
7/13/2018,12519792,191.33,191.84,191.08,190.9
7/16/2018,15043110,190.91,192.65,191.52,190.415
7/17/2018,15534523,191.45,191.87,189.75,189.2
7/18/2018,16393381,190.4,191.8,191.78,189.93
7/19/2018,20286752,191.88,192.55,189.69,189.69
7/20/2018,20706042,191.44,192.43,191.78,190.17
7/23/2018,15989365,191.61,191.96,190.68,189.56
7/24/2018,18697898,193,193.6601,192.45,192.05
7/25/2018,16826483,194.82,194.85,193.0602,192.43
7/26/2018,19075964,194.21,195.96,194.61,193.61
7/27/2018,24023972,190.98,195.19,194.99,190.1
7/30/2018,21029535,189.91,192.2,191.9,189.07
7/31/2018,39373038,190.29,192.14,190.3,189.34
8/1/2018,67935716,201.5,201.76,199.13,197.31
8/2/2018,62404012,207.39,208.38,200.58,200.35
8/3/2018,33447396,207.99,208.74,207.03,205.4803
8/6/2018,25425387,209.07,209.25,208,207.07
8/7/2018,25587387,207.11,209.5,209.32,206.76
8/8/2018,22525487,207.25,207.81,206.05,204.52
8/9/2018,23492626,208.88,209.78,207.28,207.2
8/10/2018,24611202,207.53,209.1,207.36,206.67
8/13/2018,25890880,208.87,210.952,207.7,207.7
8/14/2018,20748010,209.75,210.56,210.155,208.26
8/15/2018,28807564,210.24,210.74,209.22,208.33
8/16/2018,28500367,213.32,213.8121,211.75,211.47
8/17/2018,35426997,217.58,217.95,213.44,213.16
8/20/2018,30287695,215.46,219.18,218.1,215.11
8/21/2018,26159755,215.04,217.19,216.8,214.025
8/22/2018,19018131,215.05,216.36,214.1,213.84
8/23/2018,18883224,215.49,217.05,214.65,214.6
8/24/2018,18476356,216.16,216.9,216.6,215.11
8/27/2018,20525117,217.94,218.74,217.15,216.33
8/28/2018,22776766,219.7,220.54,219.01,218.92
8/29/2018,27254804,222.98,223.49,220.15,219.41
8/30/2018,48793824,225.03,228.26,223.25,222.4
8/31/2018,43340134,227.63,228.87,226.51,226
9/4/2018,27390132,228.36,229.18,228.41,226.63
9/5/2018,33332960,226.87,229.67,228.99,225.1
9/6/2018,34289976,223.1,227.35,226.23,221.3
9/7/2018,37619810,221.3,225.37,221.85,220.71
9/10/2018,39516453,218.33,221.85,220.95,216.47
9/11/2018,35749049,223.85,224.299,218.01,216.56
9/12/2018,49278740,221.07,225,224.94,219.84
9/13/2018,41706377,226.41,228.35,223.52,222.57
9/14/2018,31999289,223.84,226.84,225.75,222.522
9/17/2018,37195133,217.88,222.95,222.15,217.27
9/18/2018,31571712,218.24,221.85,217.79,217.12
9/19/2018,27123833,218.37,219.62,218.5,215.3
9/20/2018,26608794,220.03,222.28,220.24,219.15
9/21/2018,96246748,217.66,221.36,220.78,217.29
9/24/2018,27693358,220.79,221.26,216.82,216.63
9/25/2018,22811090,222.19,222.82,219.75,219.7
9/26/2018,8227828,223.0288,223.75,221,221
