date,5. volume,4. close,2. high,1. open,3. low
2018-05-14,15646744.0,186.64,187.86,187.71,186.2
2018-05-15,15429433.0,184.32,185.29,184.88,183.2
2018-05-16,16975495.0,183.2,184.32,183.6952,182.66
2018-05-17,14840675.0,183.76,184.06,182.68,182.22
2018-05-18,13130451.0,182.68,184.19,183.49,182.61
2018-05-21,13532864.0,184.49,185.3,183.77,183.13
2018-05-22,12731419.0,183.8,185.42,184.93,183.43
2018-05-23,16628100.0,186.9,186.91,182.5,182.18
2018-05-24,12354742.0,185.93,186.8,185.88,185.03
2018-05-25,10965061.0,184.92,186.33,186.02,184.45
2018-05-29,16398937.0,185.74,186.81,184.34,183.71
2018-05-30,13736866.0,187.67,188.0,186.54,185.25
2018-05-31,30782631.0,191.78,192.72,187.87,187.48
2018-06-01,17307245.0,193.99,194.5492,193.065,192.07
2018-06-04,18939795.0,193.28,193.98,191.84,191.47
2018-06-05,15544294.0,192.94,195.0,194.3,192.62
2018-06-06,22558920.0,191.34,192.53,191.0252,189.11
2018-06-07,21503171.0,188.18,190.97,190.75,186.77
2018-06-08,12677092.0,189.1,189.4754,187.53,186.43
2018-06-11,12928907.0,191.54,192.6,188.81,188.8
2018-06-12,11562704.0,192.4,193.28,192.17,191.56
2018-06-13,15853821.0,192.41,194.5,192.74,191.91
2018-06-14,19120866.0,196.81,197.28,193.1,192.91
2018-06-15,21860931.0,195.85,197.07,195.79,194.64
2018-06-18,16826023.0,198.31,199.58,194.8,194.13
2018-06-19,19993996.0,197.49,197.96,196.2352,193.79
2018-06-20,28230933.0,202.0,203.55,199.1,198.805
2018-06-21,19045717.0,201.5,203.39,202.76,200.09
2018-06-22,17420188.0,201.74,202.24,201.16,199.31
2018-06-25,25275137.0,196.35,200.0,200.0,193.11
2018-06-26,17897576.0,199.0,199.1,197.6,196.23
2018-06-27,18734408.0,195.84,200.75,199.18,195.8
2018-06-28,18172439.0,196.23,197.34,195.18,193.26
2018-06-29,15811602.0,194.32,197.5997,197.32,193.955
2018-07-02,13961578.0,197.36,197.45,193.37,192.22
2018-07-03,13489514.0,192.73,195.4,194.55,192.52
2018-07-05,19684193.0,198.45,198.65,194.74,194.03
2018-07-06,19740131.0,203.23,203.64,198.45,197.7
2018-07-09,18149437.0,204.74,205.8,204.93,202.1201
2018-07-10,13190067.0,203.54,204.91,204.5,202.26
2018-07-11,12927377.0,202.54,204.5,202.22,201.75
2018-07-12,15454706.0,206.92,207.08,203.43,203.19
2018-07-13,11503401.0,207.32,208.43,207.81,206.45
2018-07-16,11078209.0,207.23,208.72,207.5,206.84
2018-07-17,15349892.0,209.99,210.46,204.9,204.84
2018-07-18,15334907.0,209.36,210.99,209.82,208.44
2018-07-19,11350429.0,208.09,209.99,208.77,207.76
2018-07-20,16241508.0,209.94,211.5,208.85,208.5
2018-07-23,16731969.0,210.91,211.62,210.58,208.8
2018-07-24,28468681.0,214.67,216.2,215.11,212.6
2018-07-25,64592585.0,217.5,218.62,215.715,214.27
2018-07-26,169803668.0,176.26,180.13,174.89,173.75
2018-07-27,60073749.0,174.89,179.93,179.87,173.0
2018-07-30,65280787.0,171.06,175.3,175.3,166.56
2018-07-31,40356471.0,172.58,174.24,170.67,170.0
2018-08-01,34042109.0,171.65,175.08,173.93,170.9
2018-08-02,32399954.0,176.37,176.79,170.68,170.27
2018-08-03,24763434.0,177.78,178.85,177.69,176.15
2018-08-06,49716192.0,185.69,185.79,178.97,178.38
2018-08-07,33398562.0,183.81,188.3,186.5,183.72
2018-08-08,22205230.0,185.18,186.85,184.75,183.76
2018-08-09,19732120.0,183.09,186.57,185.8492,182.48
2018-08-10,21500410.0,180.26,182.1,182.04,179.42
2018-08-13,17423264.0,180.05,182.61,180.1,178.9
2018-08-14,19101995.0,181.11,181.99,180.71,178.62
2018-08-15,33020231.0,179.53,180.87,179.34,174.78
2018-08-16,31351784.0,174.7,180.5,180.42,174.01
2018-08-17,24893176.0,173.8,176.22,174.5,172.04
2018-08-20,21518006.0,172.5,174.57,174.04,170.91
2018-08-21,19578514.0,172.62,174.17,172.81,171.39
2018-08-22,16894083.0,173.64,174.24,172.21,172.13
2018-08-23,18053567.0,172.9,175.55,173.09,172.83
2018-08-24,14631556.0,174.645,174.82,173.7,172.92
2018-08-27,17921935.0,177.46,178.67,175.99,175.79
2018-08-28,15910675.0,176.26,178.2399,178.1,175.83
2018-08-29,18678301.0,175.9,176.79,176.295,174.75
2018-08-30,24216532.0,177.64,179.7901,175.9,175.7
2018-08-31,18065159.0,175.73,177.62,177.15,174.9815
2018-09-04,29808971.0,171.16,173.89,173.5,168.8
2018-09-05,31226744.0,167.18,171.125,169.49,166.67
2018-09-06,41514834.0,162.53,166.98,166.98,160.0
2018-09-07,24300600.0,163.04,164.6269,160.31,160.16
2018-09-10,20197680.0,164.18,165.01,163.51,162.16
2018-09-11,20457088.0,165.94,167.19,163.94,163.72
2018-09-12,24078118.0,162.0,164.49,163.25,161.8
2018-09-13,25453775.0,161.36,163.32,162.0,160.86
2018-09-14,21770405.0,162.32,162.84,161.715,160.34
2018-09-17,21005321.0,160.58,162.06,161.92,159.77
2018-09-18,22465236.0,160.3,161.7639,159.39,158.8656
2018-09-19,19628996.0,163.06,163.44,160.08,159.48
2018-09-20,18936038.0,166.02,166.45,164.5,164.4722
2018-09-21,45994800.0,162.93,167.25,166.64,162.81
2018-09-24,19222775.0,165.41,165.7,161.03,160.88
2018-09-25,27622806.0,164.91,165.59,161.99,161.15
2018-09-26,25252231.0,166.95,169.3,164.3,164.21
2018-09-27,27266856.0,168.84,171.77,167.55,167.21
2018-09-28,34265638.0,164.46,168.79,168.33,162.56
2018-10-01,26407677.0,162.44,165.88,163.03,161.26
2018-10-02,35299968.0,159.33,162.28,161.58,158.67
2018-10-03,5727353.0,160.97,161.77,160.0,159.56
