date,5. volume,4. close,2. high,1. open,3. low
2018-05-14,6101637.0,126.06,127.61,127.35,125.6
2018-05-15,5875704.0,125.13,125.83,125.54,124.4
2018-05-16,3818114.0,125.35,125.9,125.44,125.0
2018-05-17,6473359.0,123.85,125.59,125.49,123.55
2018-05-18,5433919.0,124.24,124.44,123.78,123.28
2018-05-21,5558662.0,123.72,124.99,124.62,123.32
2018-05-22,7172652.0,122.91,124.24,123.8,122.76
2018-05-23,4940832.0,123.45,123.97,122.87,122.74
2018-05-24,6923611.0,122.25,123.39,123.22,121.55
2018-05-25,4594795.0,121.47,122.8,121.56,121.13
2018-05-29,9821920.0,119.4,120.8,120.5,118.621
2018-05-30,6423721.0,120.97,121.58,120.12,119.54
2018-05-31,10337475.0,119.62,121.25,120.92,119.54
2018-06-01,5741030.0,121.26,121.32,120.38,119.97
2018-06-04,4853030.0,121.95,122.37,121.85,121.02
2018-06-05,5125356.0,121.48,122.555,122.05,120.9
2018-06-06,6799291.0,122.79,122.79,121.97,121.4616
2018-06-07,7414082.0,123.33,123.49,123.0,122.27
2018-06-08,6208077.0,124.06,124.845,123.36,123.33
2018-06-11,5571389.0,122.66,124.34,124.27,122.55
2018-06-12,5227303.0,122.54,123.18,123.16,121.95
2018-06-13,5836904.0,122.63,124.09,123.15,122.46
2018-06-14,5239195.0,122.41,123.15,122.71,122.09
2018-06-15,13173510.0,122.61,122.7285,122.1,121.2401
2018-06-18,6787408.0,121.32,121.8125,121.61,120.25
2018-06-19,8572409.0,122.57,123.1735,120.66,120.57
2018-06-20,6277185.0,122.04,122.66,122.42,121.66
2018-06-21,4417154.0,121.45,122.24,121.83,121.11
2018-06-22,10305307.0,122.84,123.38,121.68,121.65
2018-06-25,8170503.0,122.59,123.43,122.82,121.51
2018-06-26,5496350.0,122.35,122.89,122.49,121.6
2018-06-27,5666040.0,121.61,122.97,122.13,121.4527
2018-06-28,5296978.0,122.0,122.41,121.78,121.07
2018-06-29,7728480.0,121.34,123.18,122.24,121.19
2018-07-02,5481356.0,121.58,121.73,121.34,120.11
2018-07-03,4248060.0,122.71,123.46,121.65,121.26
2018-07-05,7319147.0,125.0,125.12,123.6,123.23
2018-07-06,7312163.0,125.75,125.92,125.16,124.61
2018-07-09,6706121.0,126.05,126.75,126.22,125.6
2018-07-10,5075638.0,127.38,127.52,126.37,126.11
2018-07-11,4827374.0,126.24,127.4401,127.41,126.06
2018-07-12,6198989.0,127.76,128.21,127.71,127.17
2018-07-13,8252131.0,125.93,127.5,125.32,125.32
2018-07-16,7314433.0,124.69,126.1,126.0,124.16
2018-07-17,12858746.0,129.11,130.54,128.53,127.5638
2018-07-18,7152355.0,127.8,129.05,128.81,127.17
2018-07-19,5984636.0,125.94,127.7,127.53,125.87
2018-07-20,5862442.0,125.85,126.14,125.3,125.12
2018-07-23,4631107.0,126.63,126.68,125.75,125.45
2018-07-24,7159042.0,129.36,129.62,127.24,127.15
2018-07-25,6539081.0,128.62,129.23,129.14,127.65
2018-07-26,7640607.0,130.28,131.22,129.9,129.85
2018-07-27,6735319.0,131.55,132.27,129.98,129.94
2018-07-30,11013512.0,132.17,132.49,131.78,131.25
2018-07-31,7598851.0,132.52,132.64,132.28,131.77
2018-08-01,5770569.0,132.64,132.96,132.39,132.08
2018-08-02,6563468.0,131.25,133.0,132.89,131.09
2018-08-03,6498714.0,131.95,132.7,131.18,130.9
2018-08-06,5840245.0,132.02,132.53,131.64,131.01
2018-08-07,4664630.0,131.46,132.17,131.88,131.3
2018-08-08,3721868.0,131.17,131.8,131.49,130.89
2018-08-09,4058143.0,131.2,131.72,131.54,130.67
2018-08-10,4324061.0,130.75,131.63,131.19,130.26
2018-08-13,3778022.0,130.22,130.9,130.72,129.85
2018-08-14,4543002.0,129.5,130.47,129.67,129.35
2018-08-15,5377274.0,130.43,130.74,129.75,128.93
2018-08-16,7861491.0,132.48,132.88,131.02,130.57
2018-08-17,6701056.0,134.47,135.0,132.45,132.19
2018-08-20,7935000.0,136.88,137.12,134.93,134.0
2018-08-21,5832414.0,135.35,137.43,137.0,135.3
2018-08-22,4688593.0,134.61,135.68,135.56,134.42
2018-08-23,5057560.0,135.11,135.49,134.61,134.1
2018-08-24,4809565.0,135.95,136.1464,135.11,134.83
2018-08-27,4325878.0,134.92,136.05,135.5,134.21
2018-08-28,6037517.0,134.32,134.9,134.78,133.89
2018-08-29,4648795.0,134.86,134.944,134.32,133.94
2018-08-30,4822040.0,134.95,135.6,134.7,134.6
2018-08-31,6139494.0,134.69,135.0,134.6,133.97
2018-09-04,4406793.0,133.72,134.75,134.69,133.44
2018-09-05,6174815.0,135.86,135.94,133.48,133.46
2018-09-06,6562238.0,136.87,137.31,135.5,135.18
2018-09-07,6375196.0,137.32,137.69,136.78,135.745
2018-09-10,4892017.0,137.21,138.4716,137.53,137.06
2018-09-11,7856779.0,138.51,138.91,137.64,137.22
2018-09-12,6767681.0,139.36,139.99,138.9,138.56
2018-09-13,6456132.0,139.89,140.48,139.89,139.02
2018-09-14,4534848.0,139.49,140.35,140.0,139.1
2018-09-17,5295517.0,139.96,140.4,139.33,139.18
2018-09-18,4581234.0,140.54,140.84,140.27,139.83
2018-09-19,5049937.0,140.46,140.99,140.76,140.05
2018-09-20,5019257.0,141.98,142.14,140.82,140.51
2018-09-21,13283427.0,142.88,143.13,142.18,141.69
2018-09-24,6708195.0,140.47,142.5,142.1,140.23
2018-09-25,7982758.0,138.64,140.96,140.53,138.4
2018-09-26,7133329.0,138.16,140.0,138.95,137.96
2018-09-27,6450485.0,138.22,139.5786,138.45,137.57
2018-09-28,6638464.0,138.17,138.56,138.1,137.41
2018-10-01,4873173.0,139.69,139.85,138.26,138.0
2018-10-02,5923693.0,140.48,140.73,139.79,139.65
2018-10-03,605441.0,141.0,141.27,140.54,140.6
