WBAN ,YEARMODA,TEMP,MAX  ,MIN  
13895,20180301,70.6,84,57
13895,20180302,57.8,   66.9*,  48.0*
13895,20180303,53.6,73,36
13895,20180304,54.8,73,36
13895,20180305,59.7,75,37.9
13895,20180306,63.7,75,48
13895,20180307,51.3,68,44.1
13895,20180308,45.1,57,32
13895,20180309,45.9,64.9,30
13895,20180310,56.7,73.9,30.2
13895,20180311,59.7,73.9,44.1
13895,20180312,52.2,62.1,42.1
13895,20180313,47,61,36
13895,20180314,48.3,61,36
13895,20180315,48.7,69.1,30
13895,20180316,55.6,70,30.2
13895,20180317,67.5,   81.0*,  60.1*
13895,20180318,69.7,82,59
13895,20180319,68.8,80.1,63
13895,20180320,65.3,80.1,54
13895,20180321,51.3,72,39.9
13895,20180322,50.6,64.9,37
13895,20180323,53.8,72,37
13895,20180324,64.2,82,39
13895,20180325,72.7,82,52
13895,20180326,56.8,81,52
13895,20180327,57.7,73.9,50
13895,20180328,68.1,80.1,50
13895,20180329,69,81,55
13895,20180330,62.5,81,55
13895,20180331,57.2,73,41
13895,20180401,61.8,80.1,42.1
13895,20180402,64.7,82,44.1
13895,20180403,72.1,84.9,50
13895,20180404,66.1,84.9,55.9
13895,20180405,54.7,71.1,37
13895,20180406,60.8,79,37
13895,20180407,62.5,79,48
13895,20180408,48.8,64,41
13895,20180409,59.6,69.1,41
13895,20180410,62.6,75,54
13895,20180411,59.4,75.9,44.1
13895,20180412,66,   80.1*,  45.0*
13895,20180413,66,82,48.9
13895,20180414,73,82.9,48.9
13895,20180415,61.5,82.9,51.1
13895,20180416,48.6,64.9,37
13895,20180417,56.2,79,37
13895,20180418,67.9,84.9,39
13895,20180419,69.4,84.9,53.1
13895,20180420,58.2,73.9,44.1
13895,20180421,61.4,77,44.1
13895,20180422,66.9,   72.0*,  64.0*
13895,20180423,66.7,77,55.9
13895,20180424,61.1,77,53.1
13895,20180425,62.1,75.9,53.1
13895,20180426,61.3,75.9,53.1
13895,20180427,62.8,75.9,52
13895,20180428,65,81,50
13895,20180429,65.5,81,50
13895,20180430,63.1,81,43
13895,20180501,69.3,84.9,50
13895,20180502,72.3,86,54
13895,20180503,72,86,57.9
13895,20180504,73,87.1,57.9
13895,20180505,72.4,87.1,59
13895,20180506,70.9,84,59
13895,20180507,71.5,88,55.9
13895,20180508,73.6,90,55.9
13895,20180509,74.4,90,57.9
13895,20180510,75.1,90,57.9
13895,20180511,76,91,60.1
13895,20180512,77.1,91.9,60.1
13895,20180513,79.1,93.9,60.1
13895,20180514,79.8,95,62.1
13895,20180515,77.4,95,64.9
13895,20180516,78.1,89.1,66.9
13895,20180517,75.2,89.1,66.9
13895,20180518,74.6,88,64.9
13895,20180519,78.5,91.9,64.9
13895,20180520,79.6,91.9,66.9
13895,20180521,74,91.9,66.9
13895,20180522,75.1,86,66.9
13895,20180523,78.3,89.1,71.1
13895,20180524,75.8,89.1,71.1
13895,20180525,75.6,   86.0*,  70.0*
13895,20180526,76.7,88,66.9
13895,20180527,77.4,88,66.9
13895,20180528,76.2,88,70
13895,20180529,76.8,87.1,72
13895,20180530,75.3,87.1,69.1
13895,20180531,78,89.1,70
13895,20180601,81.2,91.9,73
13895,20180602,80.9,91.9,73
13895,20180603,82.3,93.9,73
13895,20180604,79.8,93.9,66.9
13895,20180605,74.6,88,64
13895,20180606,77.1,90,64
13895,20180607,79.6,93.9,64
13895,20180608,81.7,95,64.9
13895,20180609,79.8,95,69.1
13895,20180610,76.8,91.9,66.9
13895,20180611,76.3,91.9,66.9
13895,20180612,77.3,90,69.1
13895,20180613,77.8,90,69.1
13895,20180614,76.8,88,70
13895,20180615,77.4,88,70
13895,20180616,79.8,91,70
13895,20180617,79.9,91,73
13895,20180618,81.3,93.9,71.1
13895,20180619,84.5,96.1,71.1
13895,20180620,84.5,97,72
13895,20180621,82.5,97,72
13895,20180622,79.8,93,73
13895,20180623,83.7,93,73
13895,20180624,84.6,95,75.9
13895,20180625,85.9,97,75.9
13895,20180626,80.2,97,71.1
13895,20180627,81.5,95,71.1
13895,20180628,83.3,98.1,70
13895,20180629,77.2,98.1,68
13895,20180630,81.9,93.9,68
13895,20180701,78.8,93.9,72
13895,20180702,80.9,91,73
13895,20180703,82.2,93.9,75
13895,20180704,82.3,93.9,72
13895,20180705,83,93,72
13895,20180706,82.1,93,72
13895,20180707,80.6,93,72
13895,20180708,77.3,91.9,72
13895,20180709,80.3,91,72
13895,20180710,83.4,95,73
13895,20180711,83.9,96.1,73
13895,20180712,83.6,96.1,73
13895,20180713,82.7,95,73.9
13895,20180714,80.3,95,75
13895,20180715,81.5,95,73.9
13895,20180716,77.9,95,72
13895,20180717,79.4,90,72
13895,20180718,79.8,93,73
13895,20180719,79.1,93,73
13895,20180720,79.9,91,73
13895,20180721,83.3,93.9,73.9
13895,20180722,83.5,93.9,73.9
13895,20180723,80.5,   90.0*,  69.8*
13895,20180724,79.2,90,70
13895,20180725,81.3,93,70
13895,20180726,82.8,95,72
13895,20180727,83.5,95,72
13895,20180728,82.4,95,71.1
13895,20180729,81.1,93.9,69.1
13895,20180730,80.9,93,69.1
13895,20180731,78.8,93,73.9
13895,20180801,75,79,72
13895,20180802,77,82.9,73
13895,20180803,78.5,91,70
13895,20180804,80.4,91.9,70
13895,20180805,82.8,95,73
13895,20180806,84.6,97,73
13895,20180807,81.8,97,72
13895,20180808,81.2,93.9,72
13895,20180809,82.1,93.9,72
13895,20180810,77.7,93.9,72
13895,20180811,77.9,90,72
13895,20180812,81.3,96.1,71.1
13895,20180813,81.8,96.1,71.1
13895,20180814,78.3,95,72
13895,20180815,79.4,93.9,69.1
13895,20180816,80.8,93.9,69.1
13895,20180817,79.2,91.9,72
13895,20180818,78,91.9,73
13895,20180819,75.8,89.1,71.1
13895,20180820,76.2,87.1,71.1
13895,20180821,78.2,89.1,71.1
13895,20180822,80.5,90,71.1
13895,20180823,77.2,90,66
13895,20180824,77.5,90,66
13895,20180825,80.4,91.9,68
13895,20180826,81.1,93.9,70
13895,20180827,80.9,93.9,70
13895,20180828,82.5,93.9,70
13895,20180829,80.5,93.9,72
13895,20180830,78.6,91.9,72
13895,20180831,78.4,91.9,70
13895,20180901,78.9,91.9,71.1
13895,20180902,81.4,91.9,71.1
13895,20180903,79.6,91.9,73
13895,20180904,79,91,73
13895,20180905,76.6,90,73
13895,20180906,78.5,90,73
13895,20180907,81.3,93,72
13895,20180908,80.4,93,71.1
13895,20180909,81.2,93,71.1
13895,20180910,79.1,91.9,72
13895,20180911,78.9,90,72
13895,20180912,81.5,93.9,72
13895,20180913,80.6,93.9,72
13895,20180914,81.2,95,72
13895,20180915,84.2,96.1,72
13895,20180916,83.1,96.1,72
13895,20180917,82.8,   96.1*,  73.0*
13895,20180918,82.7,96.1,72
13895,20180919,81.9,96.1,69.1
13895,20180920,82,97,69.1
13895,20180921,81.3,97,70
13895,20180922,80.4,93,70
13895,20180923,80.6,93,70
13895,20180924,78.8,   91.9*,  73.0*
13895,20180925,78.3,93,71.1
13895,20180926,77.4,91,71.1
13895,20180927,74.6,89.1,70
13895,20180928,76,87.1,70
13895,20180929,78.3,90,70
13895,20180930,78,93,70
13895,20181001,77.9,93,71.1
13895,20181002,78.3,91,68
13895,20181003,78.4,91,68
13895,20181004,78.9,91.9,68
13895,20181005,79.5,93,68
13895,20181006,78.9,93,68
13895,20181007,77.7,91.9,68
13895,20181008,77.3,90,68
13895,20181009,78.2,90,70
13895,20181010,77,89.1,73
13895,20181011,76.5,82,70
13895,20181012,64.6,   77.0*,  51.1*
13895,20181013,66,81,52
13895,20181014,71.2,89.1,54
13895,20181015,73.4,89.1,60.1
13895,20181016,77.2,88,63
13895,20181017,73.1,88,68
13895,20181018,67.6,79,57
13895,20181019,69.8,82.9,57
13895,20181020,72.3,82.9,62.1
13895,20181021,58.8,77,46.9
13895,20181022,55.6,73,43
13895,20181023,62.8,73,43
13895,20181024,61.4,75.9,46
13895,20181025,57.8,75.9,46
13895,20181026,61,64.9,57
13895,20181027,58.2,68,53.1
13895,20181028,59.3,81,45
13895,20181029,67.5,81,45
13895,20181030,61.6,80.1,50
13895,20181031,67,84.9,50
13895,20181101,68.2,84.9,54
13895,20181102,60.4,72,46.9
13895,20181103,52,72,39
13895,20181104,56.5,73.9,39.9
13895,20181105,64,   71.6*,  59.0*
13895,20181106,71.7,80.1,59
13895,20181107,63.4,80.1,57
13895,20181108,64,73,57
13895,20181109,65.4,   71.6*,  54.0*
13895,20181110,48.1,   54.0*,  39.9*
13895,20181111,48.3,64.9,39
13895,20181112,51.8,64.9,39
13895,20181113,52,55,48
13895,20181114,46.5,55,44.1
13895,20181115,37.9,48,34
13895,20181116,39.3,   59.0*,  28.0*
13895,20181117,47,   66.9*,  33.1*
13895,20181118,50.6,   69.1*,  36.0*
13895,20181119,53,   72.0*,  37.9*
13895,20181120,55.2,   60.1*,  50.0*
13895,20181121,45.4,   59.0*,  30.9*
13895,20181122,45.1,   63.0*,  33.1*
13895,20181123,46.3,64,32
13895,20181124,52.1,57.9,37.9
13895,20181125,51.2,64.9,45
13895,20181126,52.7,64.9,39.9
13895,20181127,39.7,63,28.9
13895,20181128,37.5,53.1,26.1
13895,20181129,46.3,70,26.2
13895,20181130,63.7,   75.9*,  55.0*
13895,20181201,63.8,77,55
13895,20181202,71.6,79,59
13895,20181203,58.3,79,48.9
13895,20181204,48.4,70,37
13895,20181205,39.9,55.9,30
13895,20181206,36.4,52,26.1
13895,20181207,44.8,57,26.2
13895,20181208,47.9,57,37.9
13895,20181209,44.9,48,43
13895,20181210,42,   44.1*,  39.2*
13895,20181211,42.2,53.1,33.1
13895,20181212,40.3,61,27
13895,20181213,51.3,66,28.2
13895,20181214,58.6,66,43
13895,20181215,53.5,64.9,46.9
13895,20181216,52.7,62.1,48
13895,20181217,51.7,64.9,45
13895,20181218,48.8,66,34
13895,20181219,51.3,66,34
13895,20181220,55.2,64.9,43
13895,20181221,48.4,57.9,44.1
13895,20181222,44.8,57.9,32
13895,20181223,50.6,71.1,33.1
13895,20181224,49.9,71.1,35.1
13895,20181225,45.2,66.9,32
13895,20181226,52.9,68,32
13895,20181227,58.7,69.1,41
13895,20181228,64.2,69.1,54
13895,20181229,54.9,69.1,48
13895,20181230,58,64,48
13895,20181231,68.2,77,57
