"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-01","16","21","7"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-02","16","24","10"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-03","23","26","15"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-04","22","25","15"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-05","18","25","10"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-06","16","24","8"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-07","23","28","18"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-08","23","28","22"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-09","30","38","27"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-10","31","35","23"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-11","26","28","19"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-12","28","37","18"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-13","32","38","27"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-14","32","38","23"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-15","29","35","22"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-16","34","42","31"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-17","35","40","31"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-18","36","41","34"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-19","37","41","26"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-20","32","39","25"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-21","30","34","23"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-22","26","35","20"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-23","27","36","19"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-24","26","39","15"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-25","26","37","14"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-26","28","37","21"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-27","29","36","21"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-28","34","39","31"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-29","33","38","29"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-30","32","37","28"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-03-31","30","37","24"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-01","31","45","23"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-02","36","41","29"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-03","31","34","25"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-04","26","30","20"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-05","29","42","23"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-06","32","40","21"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-07","34","47","26"
"USW00026451","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US","2018-04-08","38","51","28"
