YEARMODA,Alabama temperature,Alaska temperature
20180301,70.6,16
20180302,57.8,16
20180303,53.6,23
20180304,54.8,22
20180305,59.7,18
20180306,63.7,16
20180307,51.3,23
20180308,45.1,23
20180309,45.9,30
20180310,56.7,31
20180311,59.7,26
20180312,52.2,28
20180313,47,32
20180314,48.3,32
20180315,48.7,29
20180316,55.6,34
20180317,67.5,35
20180318,69.7,36
20180319,68.8,37
20180320,65.3,32
20180321,51.3,30
20180322,50.6,26
20180323,53.8,27
20180324,64.2,26
20180325,72.7,26
20180326,56.8,28
20180327,57.7,29
20180328,68.1,34
20180329,69,33
20180330,62.5,32
20180331,57.2,30
20180401,61.8,31
20180402,64.7,36
20180403,72.1,31
20180404,66.1,26
20180405,54.7,29
20180406,60.8,32
20180407,62.5,34
20180408,48.8,38
20180409,59.6,43
20180410,62.6,42
20180411,59.4,42
20180412,66,41
20180413,66,45
20180414,73,43
20180415,61.5,41
20180416,48.6,40
20180417,56.2,41
20180418,67.9,40
20180419,69.4,40
20180420,58.2,44
20180421,61.4,41
20180422,66.9,40
20180423,66.7,44
20180424,61.1,46
20180425,62.1,43
20180426,61.3,44
20180427,62.8,41
20180428,65,40
20180429,65.5,43
20180430,63.1,45
20180501,69.3,45
20180502,72.3,42
20180503,72,42
20180504,73,42
20180505,72.4,44
20180506,70.9,45
20180507,71.5,40
20180508,73.6,45
20180509,74.4,49
20180510,75.1,52
20180511,76,49
20180512,77.1,48
20180513,79.1,45
20180514,79.8,49
20180515,77.4,45
20180516,78.1,47
20180517,75.2,47
20180518,74.6,47
20180519,78.5,51
20180520,79.6,48
20180521,74,49
20180522,75.1,52
20180523,78.3,52
20180524,75.8,50
20180525,75.6,50
20180526,76.7,51
20180527,77.4,53
20180528,76.2,54
20180529,76.8,53
20180530,75.3,51
20180531,78,51
20180601,81.2,53
20180602,80.9,57
20180603,82.3,58
20180604,79.8,51
20180605,74.6,51
20180606,77.1,51
20180607,79.6,54
20180608,81.7,55
20180609,79.8,58
20180610,76.8,57
20180611,76.3,57
20180612,77.3,53
20180613,77.8,54
20180614,76.8,59
20180615,77.4,61
20180616,79.8,53
20180617,79.9,58
20180618,81.3,56
20180619,84.5,58
20180620,84.5,59
20180621,82.5,65
20180622,79.8,57
20180623,83.7,53
20180624,84.6,55
20180625,85.9,56
20180626,80.2,57
20180627,81.5,58
20180628,83.3,58
20180629,77.2,60
20180630,81.9,57
20180701,78.8,58
20180702,80.9,63
20180703,82.2,66
20180704,82.3,65
20180705,83,64
20180706,82.1,67
20180707,80.6,70
20180708,77.3,65
20180709,80.3,60
20180710,83.4,57
20180711,83.9,54
20180712,83.6,56
20180713,82.7,59
20180714,80.3,56
20180715,81.5,57
20180716,77.9,59
20180717,79.4,59
20180718,79.8,60
20180719,79.1,60
20180720,79.9,57
20180721,83.3,61
20180722,83.5,63
20180723,80.5,63
20180724,79.2,62
20180725,81.3,59
20180726,82.8,61
20180727,83.5,61
20180728,82.4,60
20180729,81.1,62
20180730,80.9,66
20180731,78.8,63
20180801,75,63
20180802,77,59
20180803,78.5,59
20180804,80.4,66
20180805,82.8,65
20180806,84.6,65
20180807,81.8,60
20180808,81.2,58
20180809,82.1,58
20180810,77.7,60
20180811,77.9,60
20180812,81.3,60
20180813,81.8,61
20180814,78.3,57
20180815,79.4,56
20180816,80.8,56
20180817,79.2,57
20180818,78,55
20180819,75.8,55
20180820,76.2,57
20180821,78.2,57
20180822,80.5,58
20180823,77.2,57
20180824,77.5,55
20180825,80.4,56
20180826,81.1,56
20180827,80.9,58
20180828,82.5,56
20180829,80.5,56
20180830,78.6,59
20180831,78.4,58
20180901,78.9,55
20180902,81.4,55
20180903,79.6,54
20180904,79,56
20180905,76.6,55
20180906,78.5,57
20180907,81.3,57
20180908,80.4,56
20180909,81.2,56
20180910,79.1,54
20180911,78.9,54
20180912,81.5,56
20180913,80.6,56
20180914,81.2,57
20180915,84.2,60
20180916,83.1,57
20180917,82.8,56
20180918,82.7,56
20180919,81.9,54
20180920,82,55
20180921,81.3,53
20180922,80.4,53
20180923,80.6,56
20180924,78.8,55
20180925,78.3,55
20180926,77.4,48
20180927,74.6,49
20180928,76,50
20180929,78.3,53
20180930,78,51
20181001,77.9,46
20181002,78.3,48
20181003,78.4,49
20181004,78.9,49
20181005,79.5,50
20181006,78.9,50
20181007,77.7,47
20181008,77.3,48
20181009,78.2,45
20181010,77,48
20181011,76.5,52
20181012,64.6,53
20181013,66,44
20181014,71.2,45
20181015,73.4,42
20181016,77.2,48
20181017,73.1,52
20181018,67.6,50
20181019,69.8,46
20181020,72.3,47
20181021,58.8,47
20181022,55.6,45
20181023,62.8,44
20181024,61.4,49
20181025,57.8,43
20181026,61,46
20181027,58.2,41
20181028,59.3,38
20181029,67.5,32
20181030,61.6,27
20181031,67,26
20181101,68.2,24
20181102,60.4,24
20181103,52,29
20181104,56.5,25
20181105,64,22
20181106,71.7,21
20181107,63.4,28
20181108,64,35
20181109,65.4,35
20181110,48.1,31
20181111,48.3,32
20181112,51.8,36
20181113,52,40
20181114,46.5,32
20181115,37.9,27
20181116,39.3,27
20181117,47,33
20181118,50.6,37
20181119,53,37
20181120,55.2,33
20181121,45.4,30
20181122,45.1,26
20181123,46.3,22
20181124,52.1,24
20181125,51.2,33
20181126,52.7,36
20181127,39.7,36
20181128,37.5,35
20181129,46.3,32
20181130,63.7,28
20181201,63.8,29
20181202,71.6,38
20181203,58.3,36
20181204,48.4,27
20181205,39.9,29
20181206,36.4,31
20181207,44.8,34
20181208,47.9,35
20181209,44.9,32
20181210,42,26
20181211,42.2,29
20181212,40.3,28
20181213,51.3,22
20181214,58.6,17
20181215,53.5,18
20181216,52.7,21
20181217,51.7,27
20181218,48.8,25
20181219,51.3,20
20181220,55.2,20
20181221,48.4,17
20181222,44.8,22
20181223,50.6,22
20181224,49.9,16
20181225,45.2,15
20181226,52.9,25
20181227,58.7,27
20181228,64.2,25
20181229,54.9,25
20181230,58,25
20181231,68.2,34
20190101,67.5,38
20190102,60.7,38
20190103,58.1,27
20190104,59.4,14
20190105,50.7,7
20190106,50.5,6
20190107,53.9,-1
20190108,58.3,7
20190109,53.9,11
